"item_code","Original_crop","Item Group Code","Item Group","Item","Factor","HS Code","HS07 Code","HS12 Code","CPC Code"
"101","Canary seed",1714,"Crops Primary","Canary seed",1,NA,"100830","100830","1195"
"108","Cereals, nes",1714,"Crops Primary","Cereals nes",1,NA,"100890","100890","1199.9"
"108","Mean for C4 cereals",1714,"Crops Primary","Cereals nes",1,NA,"100890","100890","1199.9"
"108","Grain, mixed",1714,"Crops Primary","Cereals nes",1,NA,"100890","100890","1199.9"
"108","Tropical cereals",1714,"Crops Primary","Cereals nes",1,NA,"100890","100890","1199.9"
"108","Temperate cereals",1714,"Crops Primary","Cereals nes",1,NA,"100890","100890","1199.9"
"108","Generic grains",1714,"Crops Primary","Cereals nes",1,NA,"100890","100890","1199.9"
"108","Other cereals",1714,"Crops Primary","Cereals nes",1,NA,"100890","100890","1199.9"
"108","Cereals other",1714,"Crops Primary","Cereals nes",1,NA,"100890","100890","1199.9"
"108","Teff",1714,"Crops Primary","Cereals nes",1,NA,"100890","100890","1199.9"
"108","Mixed grain",1714,"Crops Primary","Cereals nes",1,NA,"100890","100890","1199.9"
"108","Mean for C3 cereals",1714,"Crops Primary","Cereals nes",1,NA,"100890","100890","1199.9"
"116","Potato above-ground stems & leaves",1714,"Crops Primary","Potatoes",1,NA,"070110, 070190","070110, 070190","1510"
"116","Frozen Potatoes",1714,"Crops Primary","Potatoes",1,NA,"070110, 070190","070110, 070190","1510"
"116","Potato tuber",1714,"Crops Primary","Potatoes",1,NA,"070110, 070190","070110, 070190","1510"
"116","Potatoes and tubers",1714,"Crops Primary","Potatoes",1,NA,"070110, 070190","070110, 070190","1510"
"116","Potatoes",1714,"Crops Primary","Potatoes",1,NA,"070110, 070190","070110, 070190","1510"
"116","Potato",1714,"Crops Primary","Potatoes",1,NA,"070110, 070190","070110, 070190","1510"
"116","Potato Offals",1714,"Crops Primary","Potatoes",1,NA,"070110, 070190","070110, 070190","1510"
"122","Sweet potatoes",1714,"Crops Primary","Sweet potatoes",1,NA,"71420","71420","1530"
"122","Sweet potato",1714,"Crops Primary","Sweet potatoes",1,NA,"71420","71420","1530"
"122","Sweet Potato",1714,"Crops Primary","Sweet potatoes",1,NA,"71420","71420","1530"
"125","Cassava Dried",1714,"Crops Primary","Cassava",1,NA,"71410","71410","1520.01"
"125","Cassava",1714,"Crops Primary","Cassava",1,NA,"71410","71410","1520.01"
"135","Yautia (cocoyam)",1714,"Crops Primary","Yautia (cocoyam)",1,NA,"71490","71450","1591"
"136","Taro (cocoyam)",1714,"Crops Primary","Taro (cocoyam)",1,NA,"71490","71440","1550"
"137","Yams",1714,"Crops Primary","Yams",1,NA,"71490","71430","1540"
"149","Roots and Tubers; nes",1714,"Crops Primary","Roots and tubers nes",1,NA,"71490","71490","1599.1"
"149","Roots other",1714,"Crops Primary","Roots and tubers nes",1,NA,"71490","71490","1599.1"
"149","Other root crops",1714,"Crops Primary","Roots and tubers nes",1,NA,"71490","71490","1599.1"
"149","Roots and Tubers, nes",1714,"Crops Primary","Roots and tubers nes",1,NA,"71490","71490","1599.1"
"149","Vegetables Roots Fodder",1714,"Crops Primary","Roots and tubers nes",1,NA,"71490","71490","1599.1"
"149","Roots and Tubers Dried",1714,"Crops Primary","Roots and tubers nes",1,NA,"71490","71490","1599.1"
"149","Roots and tuber crops",1714,"Crops Primary","Roots and tubers nes",1,NA,"71490","71490","1599.1"
"15","Durum wheat",1714,"Crops Primary","Wheat",1,NA,"100110, 100190","100111, 100119, 100191, 100199","111"
"15","Wheat (winter) grain",1714,"Crops Primary","Wheat",1,NA,"100110, 100190","100111, 100119, 100191, 100199","111"
"15","Wheat",1714,"Crops Primary","Wheat",1,NA,"100110, 100190","100111, 100119, 100191, 100199","111"
"15","Soft wheat",1714,"Crops Primary","Wheat",1,NA,"100110, 100190","100111, 100119, 100191, 100199","111"
"15","Meslin",1714,"Crops Primary","Wheat",1,NA,"100110, 100190","100111, 100119, 100191, 100199","111"
"15","Wheat straw",1714,"Crops Primary","Wheat",1,NA,"100110, 100190","100111, 100119, 100191, 100199","111"
"15","Wheat straw per t of grain",1714,"Crops Primary","Wheat",1,NA,"100110, 100190","100111, 100119, 100191, 100199","111"
"15","Winter wheat",1714,"Crops Primary","Wheat",1,NA,"100110, 100190","100111, 100119, 100191, 100199","111"
"15","Spring wheat",1714,"Crops Primary","Wheat",1,NA,"100110, 100190","100111, 100119, 100191, 100199","111"
"15","Wheat (spring) grain",1714,"Crops Primary","Wheat",1,NA,"100110, 100190","100111, 100119, 100191, 100199","111"
"156","Sugar-cane",1714,"Crops Primary","Sugar cane",1,NA,"121299","121293","1802"
"156","Sugarcane",1714,"Crops Primary","Sugar cane",1,NA,"121299","121293","1802"
"156","Sugar cane",1714,"Crops Primary","Sugar cane",1,NA,"121299","121293","1802"
"156","Sugarcane leaf",1714,"Crops Primary","Sugar cane",1,NA,"121299","121293","1802"
"156","Sugar cane bagasse",1714,"Crops Primary","Sugar cane",1,NA,"121299","121293","1802"
"156","Bagasse",1714,"Crops Primary","Sugar cane",1,NA,"121299","121293","1802"
"157","Sugar beet",1714,"Crops Primary","Sugar beet",1,NA,"121291","121291","1801"
"157","Sugarbeet top",1714,"Crops Primary","Sugar beet",1,NA,"121291","121291","1801"
"157","Sugar beets",1714,"Crops Primary","Sugar beet",1,NA,"121291","121291","1801"
"157","Beet",1714,"Crops Primary","Sugar beet",1,NA,"121291","121291","1801"
"157","Sugar beets tops",1714,"Crops Primary","Sugar beet",1,NA,"121291","121291","1801"
"157","Sugarbeet root",1714,"Crops Primary","Sugar beet",1,NA,"121291","121291","1801"
"157","Table beets",1714,"Crops Primary","Sugar beet",1,NA,"121291","121291","1801"
"161","Sugar crops, nes",1714,"Crops Primary","Sugar crops nes",1,NA,"121299","121299","1809"
"161","Sugar, nes",1714,"Crops Primary","Sugar crops nes",1,NA,"121299","121299","1809"
"161","Sugar crops; nes",1714,"Crops Primary","Sugar crops nes",1,NA,"121299","121299","1809"
"176","Beans, dry",1714,"Crops Primary","Beans, dry",1,NA,"071331, 071332, 071333, 071339","071331, 071332, 071333, 071339","1701"
"176","Bean, mung",1714,"Crops Primary","Beans, dry",1,NA,"071331, 071332, 071333, 071339","071331, 071332, 071333, 071339","1701"
"176","Beans; dry",1714,"Crops Primary","Beans, dry",1,NA,"071331, 071332, 071333, 071339","071331, 071332, 071333, 071339","1701"
"176","Mung bean",1714,"Crops Primary","Beans, dry",1,NA,"071331, 071332, 071333, 071339","071331, 071332, 071333, 071339","1701"
"176","Mungbeans",1714,"Crops Primary","Beans, dry",1,NA,"071331, 071332, 071333, 071339","071331, 071332, 071333, 071339","1701"
"176","Bean, dry",1714,"Crops Primary","Beans, dry",1,NA,"071331, 071332, 071333, 071339","071331, 071332, 071333, 071339","1701"
"176","Beans (dry)",1714,"Crops Primary","Beans, dry",1,NA,"071331, 071332, 071333, 071339","071331, 071332, 071333, 071339","1701"
"176","Bean, lima",1714,"Crops Primary","Beans, dry",1,NA,"071331, 071332, 071333, 071339","071331, 071332, 071333, 071339","1701"
"181","Broad beans; horse beans; dry",1714,"Crops Primary","Broad beans, horse beans, dry",1,NA,"71350","71350","1702"
"181","Broad beans, horse beans, dry",1714,"Crops Primary","Broad beans, horse beans, dry",1,NA,"71350","71350","1702"
"181","Broad beans",1714,"Crops Primary","Broad beans, horse beans, dry",1,NA,"71350","71350","1702"
"187","Lespedeza",1714,"Crops Primary","Peas, dry",1,NA,"71310","71310","1705"
"187","Peas; dry",1714,"Crops Primary","Peas, dry",1,NA,"71310","71310","1705"
"187","Peas, dry",1714,"Crops Primary","Peas, dry",1,NA,"71310","71310","1705"
"191","Chick peas",1714,"Crops Primary","Chick peas",1,NA,"71320","71320","1703"
"191","Chickpea",1714,"Crops Primary","Chick peas",1,NA,"71320","71320","1703"
"191","Black gram",1714,"Crops Primary","Chick peas",1,NA,"71320","71320","1703"
"191","Chick pea",1714,"Crops Primary","Chick peas",1,NA,"71320","71320","1703"
"191","Green gram",1714,"Crops Primary","Chick peas",1,NA,"71320","71320","1703"
"195","Cowpea",1714,"Crops Primary","Cow peas, dry",1,NA,"71339","71335","1706"
"195","Cow peas; dry",1714,"Crops Primary","Cow peas, dry",1,NA,"71339","71335","1706"
"195","Cow peas, dry",1714,"Crops Primary","Cow peas, dry",1,NA,"71339","71335","1706"
"195","Cow pea",1714,"Crops Primary","Cow peas, dry",1,NA,"71339","71335","1706"
"195","Field pea",1714,"Crops Primary","Cow peas, dry",1,NA,"71339","71335","1706"
"197","Pigeon pea",1714,"Crops Primary","Pigeon peas",1,NA,"71390","71360","1707"
"201","Lentil",1714,"Crops Primary","Lentils",1,NA,"71340","71340","1704"
"201","Lentils",1714,"Crops Primary","Lentils",1,NA,"71340","71340","1704"
"203","Bambara beans",1714,"Crops Primary","Bambara beans",1,NA,"71339","71334","1708"
"205","Vetch",1714,"Crops Primary","Vetches",1,NA,"121490","121490","1709.01"
"205","Vetches",1714,"Crops Primary","Vetches",1,NA,"121490","121490","1709.01"
"205","Vetch  (DM)",1714,"Crops Primary","Vetches",1,NA,"121490","121490","1709.01"
"210","Lupin",1714,"Crops Primary","Lupins",1,NA,"121490","121490","1709.02"
"210","Lupins",1714,"Crops Primary","Lupins",1,NA,"121490","121490","1709.02"
"211","Pulses",1714,"Crops Primary","Pulses nes",1,NA,"71390","71390","1709.9"
"211","Long bean residue",1714,"Crops Primary","Pulses nes",1,NA,"71390","71390","1709.9"
"211","Pulses; nes",1714,"Crops Primary","Pulses nes",1,NA,"71390","71390","1709.9"
"211","Mean for legumes",1714,"Crops Primary","Pulses nes",1,NA,"71390","71390","1709.9"
"211","Pulses, nes",1714,"Crops Primary","Pulses nes",1,NA,"71390","71390","1709.9"
"216","Brazil nuts; with shell",1714,"Crops Primary","Brazil nuts, with shell",1,NA,"80121","80121","1377"
"216","Brazil nuts, with shell",1714,"Crops Primary","Brazil nuts, with shell",1,NA,"80121","80121","1377"
"217","Cashew nuts, with shell",1714,"Crops Primary","Cashew nuts, with shell",1,NA,"80131","80131","1372"
"217","Cashew nuts; with shell",1714,"Crops Primary","Cashew nuts, with shell",1,NA,"80131","80131","1372"
"220","Chestnuts",1714,"Crops Primary","Chestnut",1,NA,"80240","080241, 080242","1373"
"221","Almonds, with shell",1714,"Crops Primary","Almonds, with shell",1,NA,"80211","80211","1371"
"221","Almonds; with shell",1714,"Crops Primary","Almonds, with shell",1,NA,"80211","80211","1371"
"222","Walnuts; with shell",1714,"Crops Primary","Walnuts, with shell",1,NA,"80231","80231","1376"
"222","Walnuts, with shell",1714,"Crops Primary","Walnuts, with shell",1,NA,"80231","80231","1376"
"223","Pistachios",1714,"Crops Primary","Pistachios",1,NA,"80250","080251, 080252","1375"
"224","Kolanuts",1714,"Crops Primary","Kola nuts",1,NA,"80290","80270","1379.02"
"225","Hazelnuts, with shell",1714,"Crops Primary","Hazelnuts, with shell",1,NA,"80221","80221","1374"
"225","Hazelnuts; with shell",1714,"Crops Primary","Hazelnuts, with shell",1,NA,"80221","80221","1374"
"226","Arecanuts",1714,"Crops Primary","Areca nuts",1,NA,"80290","80280","1379.01"
"234","Nuts; nes",1714,"Crops Primary","Nuts nes",1,NA,"080260, 080290","080261, 080262, 080290","1379.9"
"234","Nuts, nes",1714,"Crops Primary","Nuts nes",1,NA,"080260, 080290","080261, 080262, 080290","1379.9"
"236","Soybean grain",1714,"Crops Primary","Soybeans",1,NA,"120100","120110, 120190","141"
"236","Soybean stover per t of grain",1714,"Crops Primary","Soybeans",1,NA,"120100","120110, 120190","141"
"236","Soybean",1714,"Crops Primary","Soybeans",1,NA,"120100","120110, 120190","141"
"236","Soybeans",1714,"Crops Primary","Soybeans",1,NA,"120100","120110, 120190","141"
"236","Soybean stover",1714,"Crops Primary","Soybeans",1,NA,"120100","120110, 120190","141"
"242","Groundnuts; with shell",1714,"Crops Primary","Groundnuts, with shell",1,NA,"120210, 120220","120230, 120241","142"
"242","Groundnuts, with shell",1714,"Crops Primary","Groundnuts, with shell",1,NA,"120210, 120220","120230, 120241","142"
"242","Groundnut haulm",1714,"Crops Primary","Groundnuts, with shell",1,NA,"120210, 120220","120230, 120241","142"
"242","Groundnut",1714,"Crops Primary","Groundnuts, with shell",1,NA,"120210, 120220","120230, 120241","142"
"242","Peanut nuts",1714,"Crops Primary","Groundnuts, with shell",1,NA,"120210, 120220","120230, 120241","142"
"242","Groundnuts",1714,"Crops Primary","Groundnuts, with shell",1,NA,"120210, 120220","120230, 120241","142"
"242","Peanut stover",1714,"Crops Primary","Groundnuts, with shell",1,NA,"120210, 120220","120230, 120241","142"
"242","Peanut",1714,"Crops Primary","Groundnuts, with shell",1,NA,"120210, 120220","120230, 120241","142"
"242","Green groundnut plant",1714,"Crops Primary","Groundnuts, with shell",1,NA,"120210, 120220","120230, 120241","142"
"242","Peanuts",1714,"Crops Primary","Groundnuts, with shell",1,NA,"120210, 120220","120230, 120241","142"
