Original_region,Reference_where_data_were_collated,Website_of_source_of_collated_data,Primary_reference_of_dataset,Original_crop,Original_crop_component,variable,value,Table_number
Atlantic Zone of Costa Rica,"Bessembinder, J (1995) Uncertainties in input-output coefficients for land use optimization studies: an illustration with fertilizer use efficiency. Netherlands Journal of Agricultural Science 43, 47-59 https://scholar.google.nl/scholar_url?url=https://library.wur.nl/ojs/index.php/njas/article/download/584/298&hl=en&sa=X&ei=r40IY7TmA4v8mgHYs4fIBA&scisig=AAGBfm2CZQpSGUIHpclSFF7HU7uWzlidxQ&oi=scholarr",https://scholar.google.nl/scholar_url?url=https://library.wur.nl/ojs/index.php/njas/article/download/584/298&hl=en&sa=X&ei=r40IY7TmA4v8mgHYs4fIBA&scisig=AAGBfm2CZQpSGUIHpclSFF7HU7uWzlidxQ&oi=scholarr,Erenstein  (1989) ,Maize,Crop_products,N_pc,1.77,2
Atlantic Zone of Costa Rica,"Bessembinder, J (1995) Uncertainties in input-output coefficients for land use optimization studies: an illustration with fertilizer use efficiency. Netherlands Journal of Agricultural Science 43, 47-59 https://scholar.google.nl/scholar_url?url=https://library.wur.nl/ojs/index.php/njas/article/download/584/298&hl=en&sa=X&ei=r40IY7TmA4v8mgHYs4fIBA&scisig=AAGBfm2CZQpSGUIHpclSFF7HU7uWzlidxQ&oi=scholarr",https://scholar.google.nl/scholar_url?url=https://library.wur.nl/ojs/index.php/njas/article/download/584/298&hl=en&sa=X&ei=r40IY7TmA4v8mgHYs4fIBA&scisig=AAGBfm2CZQpSGUIHpclSFF7HU7uWzlidxQ&oi=scholarr,Erenstein  (1989) ,Maize,Crop_products,P_pc,0.25,2
Atlantic Zone of Costa Rica,"Bessembinder, J (1995) Uncertainties in input-output coefficients for land use optimization studies: an illustration with fertilizer use efficiency. Netherlands Journal of Agricultural Science 43, 47-59 https://scholar.google.nl/scholar_url?url=https://library.wur.nl/ojs/index.php/njas/article/download/584/298&hl=en&sa=X&ei=r40IY7TmA4v8mgHYs4fIBA&scisig=AAGBfm2CZQpSGUIHpclSFF7HU7uWzlidxQ&oi=scholarr",https://scholar.google.nl/scholar_url?url=https://library.wur.nl/ojs/index.php/njas/article/download/584/298&hl=en&sa=X&ei=r40IY7TmA4v8mgHYs4fIBA&scisig=AAGBfm2CZQpSGUIHpclSFF7HU7uWzlidxQ&oi=scholarr,Erenstein  (1989) ,Maize,Crop_products,K_pc,0.34,2
Atlantic Zone of Costa Rica,"Bessembinder, J (1995) Uncertainties in input-output coefficients for land use optimization studies: an illustration with fertilizer use efficiency. Netherlands Journal of Agricultural Science 43, 47-59 https://scholar.google.nl/scholar_url?url=https://library.wur.nl/ojs/index.php/njas/article/download/584/298&hl=en&sa=X&ei=r40IY7TmA4v8mgHYs4fIBA&scisig=AAGBfm2CZQpSGUIHpclSFF7HU7uWzlidxQ&oi=scholarr",https://scholar.google.nl/scholar_url?url=https://library.wur.nl/ojs/index.php/njas/article/download/584/298&hl=en&sa=X&ei=r40IY7TmA4v8mgHYs4fIBA&scisig=AAGBfm2CZQpSGUIHpclSFF7HU7uWzlidxQ&oi=scholarr,Erenstein  (1989) ,Maize,Crop_residues,N_pc,0.82,2
Atlantic Zone of Costa Rica,"Bessembinder, J (1995) Uncertainties in input-output coefficients for land use optimization studies: an illustration with fertilizer use efficiency. Netherlands Journal of Agricultural Science 43, 47-59 https://scholar.google.nl/scholar_url?url=https://library.wur.nl/ojs/index.php/njas/article/download/584/298&hl=en&sa=X&ei=r40IY7TmA4v8mgHYs4fIBA&scisig=AAGBfm2CZQpSGUIHpclSFF7HU7uWzlidxQ&oi=scholarr",https://scholar.google.nl/scholar_url?url=https://library.wur.nl/ojs/index.php/njas/article/download/584/298&hl=en&sa=X&ei=r40IY7TmA4v8mgHYs4fIBA&scisig=AAGBfm2CZQpSGUIHpclSFF7HU7uWzlidxQ&oi=scholarr,Erenstein  (1989) ,Maize,Crop_residues,P_pc,0.09,2
Atlantic Zone of Costa Rica,"Bessembinder, J (1995) Uncertainties in input-output coefficients for land use optimization studies: an illustration with fertilizer use efficiency. Netherlands Journal of Agricultural Science 43, 47-59 https://scholar.google.nl/scholar_url?url=https://library.wur.nl/ojs/index.php/njas/article/download/584/298&hl=en&sa=X&ei=r40IY7TmA4v8mgHYs4fIBA&scisig=AAGBfm2CZQpSGUIHpclSFF7HU7uWzlidxQ&oi=scholarr",https://scholar.google.nl/scholar_url?url=https://library.wur.nl/ojs/index.php/njas/article/download/584/298&hl=en&sa=X&ei=r40IY7TmA4v8mgHYs4fIBA&scisig=AAGBfm2CZQpSGUIHpclSFF7HU7uWzlidxQ&oi=scholarr,Erenstein  (1989) ,Maize,Crop_residues,K_pc,1.7,2
Atlantic Zone of Costa Rica,"Bessembinder, J (1995) Uncertainties in input-output coefficients for land use optimization studies: an illustration with fertilizer use efficiency. Netherlands Journal of Agricultural Science 43, 47-59 https://scholar.google.nl/scholar_url?url=https://library.wur.nl/ojs/index.php/njas/article/download/584/298&hl=en&sa=X&ei=r40IY7TmA4v8mgHYs4fIBA&scisig=AAGBfm2CZQpSGUIHpclSFF7HU7uWzlidxQ&oi=scholarr",https://scholar.google.nl/scholar_url?url=https://library.wur.nl/ojs/index.php/njas/article/download/584/298&hl=en&sa=X&ei=r40IY7TmA4v8mgHYs4fIBA&scisig=AAGBfm2CZQpSGUIHpclSFF7HU7uWzlidxQ&oi=scholarr,Erenstein  (1989) ,Maize,Crop_products,N_pc_sd,0.11,2
Atlantic Zone of Costa Rica,"Bessembinder, J (1995) Uncertainties in input-output coefficients for land use optimization studies: an illustration with fertilizer use efficiency. Netherlands Journal of Agricultural Science 43, 47-59 https://scholar.google.nl/scholar_url?url=https://library.wur.nl/ojs/index.php/njas/article/download/584/298&hl=en&sa=X&ei=r40IY7TmA4v8mgHYs4fIBA&scisig=AAGBfm2CZQpSGUIHpclSFF7HU7uWzlidxQ&oi=scholarr",https://scholar.google.nl/scholar_url?url=https://library.wur.nl/ojs/index.php/njas/article/download/584/298&hl=en&sa=X&ei=r40IY7TmA4v8mgHYs4fIBA&scisig=AAGBfm2CZQpSGUIHpclSFF7HU7uWzlidxQ&oi=scholarr,Erenstein  (1989) ,Maize,Crop_products,P_pc_sd,0.03,2
Atlantic Zone of Costa Rica,"Bessembinder, J (1995) Uncertainties in input-output coefficients for land use optimization studies: an illustration with fertilizer use efficiency. Netherlands Journal of Agricultural Science 43, 47-59 https://scholar.google.nl/scholar_url?url=https://library.wur.nl/ojs/index.php/njas/article/download/584/298&hl=en&sa=X&ei=r40IY7TmA4v8mgHYs4fIBA&scisig=AAGBfm2CZQpSGUIHpclSFF7HU7uWzlidxQ&oi=scholarr",https://scholar.google.nl/scholar_url?url=https://library.wur.nl/ojs/index.php/njas/article/download/584/298&hl=en&sa=X&ei=r40IY7TmA4v8mgHYs4fIBA&scisig=AAGBfm2CZQpSGUIHpclSFF7HU7uWzlidxQ&oi=scholarr,Erenstein  (1989) ,Maize,Crop_products,K_pc_sd,0.03,2
Atlantic Zone of Costa Rica,"Bessembinder, J (1995) Uncertainties in input-output coefficients for land use optimization studies: an illustration with fertilizer use efficiency. Netherlands Journal of Agricultural Science 43, 47-59 https://scholar.google.nl/scholar_url?url=https://library.wur.nl/ojs/index.php/njas/article/download/584/298&hl=en&sa=X&ei=r40IY7TmA4v8mgHYs4fIBA&scisig=AAGBfm2CZQpSGUIHpclSFF7HU7uWzlidxQ&oi=scholarr",https://scholar.google.nl/scholar_url?url=https://library.wur.nl/ojs/index.php/njas/article/download/584/298&hl=en&sa=X&ei=r40IY7TmA4v8mgHYs4fIBA&scisig=AAGBfm2CZQpSGUIHpclSFF7HU7uWzlidxQ&oi=scholarr,Erenstein  (1989) ,Maize,Crop_residues,N_pc_sd,0.18,2
