Reference_where_data_were_collated,Website_of_source_of_collated_data,Crop_number,Crop,Crop_component,Crop_group_1,Crop_group_2,Crop_component_N_concentration_kg_N_kg_DM,Crop_component_P_concentration_kg_elemental_P_kg_DM,Crop_component_DM_concentration_kg_DM_kg_fresh_weight,Crop_group_name_1,Crop_group_name_2
"Bouwman et al (2017) Nature Scientific Reports, Lessons from temporal and spatial patterns in global use of N and P fertilizer on cropland, 7(40366) https://www.nature.com/articles/srep40366",https://static-content.springer.com/esm/art%3A10.1038%2Fsrep40366/MediaObjects/41598_2017_BFsrep40366_MOESM320_ESM.pdf,1,Wheat,Crop_products,1,1,0.019,0.0034,0.88,Upland crops,Temperate cereals
"Bouwman et al (2017) Nature Scientific Reports, Lessons from temporal and spatial patterns in global use of N and P fertilizer on cropland, 7(40366) https://www.nature.com/articles/srep40366",https://static-content.springer.com/esm/art%3A10.1038%2Fsrep40366/MediaObjects/41598_2017_BFsrep40366_MOESM320_ESM.pdf,2,Rice,Crop_products,3,2,0.013,0.0025,0.88,Rice,Rice
"Bouwman et al (2017) Nature Scientific Reports, Lessons from temporal and spatial patterns in global use of N and P fertilizer on cropland, 7(40366) https://www.nature.com/articles/srep40366",https://static-content.springer.com/esm/art%3A10.1038%2Fsrep40366/MediaObjects/41598_2017_BFsrep40366_MOESM320_ESM.pdf,3,Maize,Crop_products,1,3,0.014,0.0029,0.88,Upland crops,Maize
"Bouwman et al (2017) Nature Scientific Reports, Lessons from temporal and spatial patterns in global use of N and P fertilizer on cropland, 7(40366) https://www.nature.com/articles/srep40366",https://static-content.springer.com/esm/art%3A10.1038%2Fsrep40366/MediaObjects/41598_2017_BFsrep40366_MOESM320_ESM.pdf,4,Barley,Crop_products,1,1,0.017,0.0036,0.88,Upland crops,Temperate cereals
"Bouwman et al (2017) Nature Scientific Reports, Lessons from temporal and spatial patterns in global use of N and P fertilizer on cropland, 7(40366) https://www.nature.com/articles/srep40366",https://static-content.springer.com/esm/art%3A10.1038%2Fsrep40366/MediaObjects/41598_2017_BFsrep40366_MOESM320_ESM.pdf,5,Millet,Crop_products,1,4,0.015,0.003,0.85,Upland crops,Tropical cereals
"Bouwman et al (2017) Nature Scientific Reports, Lessons from temporal and spatial patterns in global use of N and P fertilizer on cropland, 7(40366) https://www.nature.com/articles/srep40366",https://static-content.springer.com/esm/art%3A10.1038%2Fsrep40366/MediaObjects/41598_2017_BFsrep40366_MOESM320_ESM.pdf,6,Sorghum,Crop_products,1,4,0.015,0.003,0.85,Upland crops,Tropical cereals
"Bouwman et al (2017) Nature Scientific Reports, Lessons from temporal and spatial patterns in global use of N and P fertilizer on cropland, 7(40366) https://www.nature.com/articles/srep40366",https://static-content.springer.com/esm/art%3A10.1038%2Fsrep40366/MediaObjects/41598_2017_BFsrep40366_MOESM320_ESM.pdf,7,Other cereals,Crop_products,1,1,0.016,0.0031,0.87,Upland crops,Temperate cereals
"Bouwman et al (2017) Nature Scientific Reports, Lessons from temporal and spatial patterns in global use of N and P fertilizer on cropland, 7(40366) https://www.nature.com/articles/srep40366",https://static-content.springer.com/esm/art%3A10.1038%2Fsrep40366/MediaObjects/41598_2017_BFsrep40366_MOESM320_ESM.pdf,8,Potato,Crop_products,1,6,0.003,0.0005,0.212,Upland crops,Roots and tuber crops
"Bouwman et al (2017) Nature Scientific Reports, Lessons from temporal and spatial patterns in global use of N and P fertilizer on cropland, 7(40366) https://www.nature.com/articles/srep40366",https://static-content.springer.com/esm/art%3A10.1038%2Fsrep40366/MediaObjects/41598_2017_BFsrep40366_MOESM320_ESM.pdf,9,Sweet potato,Crop_products,1,6,0.003,0.0003,0.272,Upland crops,Roots and tuber crops
"Bouwman et al (2017) Nature Scientific Reports, Lessons from temporal and spatial patterns in global use of N and P fertilizer on cropland, 7(40366) https://www.nature.com/articles/srep40366",https://static-content.springer.com/esm/art%3A10.1038%2Fsrep40366/MediaObjects/41598_2017_BFsrep40366_MOESM320_ESM.pdf,10,Cassava,Crop_products,1,6,0.002,0.0004,0.326,Upland crops,Roots and tuber crops
"Bouwman et al (2017) Nature Scientific Reports, Lessons from temporal and spatial patterns in global use of N and P fertilizer on cropland, 7(40366) https://www.nature.com/articles/srep40366",https://static-content.springer.com/esm/art%3A10.1038%2Fsrep40366/MediaObjects/41598_2017_BFsrep40366_MOESM320_ESM.pdf,11,Other root crops,Crop_products,1,6,0.003,0.0004,0.27,Upland crops,Roots and tuber crops
"Bouwman et al (2017) Nature Scientific Reports, Lessons from temporal and spatial patterns in global use of N and P fertilizer on cropland, 7(40366) https://www.nature.com/articles/srep40366",https://static-content.springer.com/esm/art%3A10.1038%2Fsrep40366/MediaObjects/41598_2017_BFsrep40366_MOESM320_ESM.pdf,12,Plantain,Crop_products,1,8,0.002,0.0003,0.653,Upland crops,Other crops
