World_region_Conant_(2013);Crop;Crop_residue_returned$Region;Crop_residue_returned$Proportion;Units;Author;Source_title;Pub_year;Pub_page;DOI
Canada;All_crops;Pcp_returned_Canada;0.52;Proportion;Conant_et_al;Global_Biogeochemical_Cycles ;2013;Auxiliary_Table_2;https://doi.org/10.1002/gbc.20053
Central America;All_crops;Pcp_returned_Central America;0.5;Proportion;Conant_et_al;Global_Biogeochemical_Cycles ;2013;Auxiliary_Table_2;https://doi.org/10.1002/gbc.20053
East Africa;All_crops;Pcp_returned_East Africa;0.39;Proportion;Conant_et_al;Global_Biogeochemical_Cycles ;2013;Auxiliary_Table_2;https://doi.org/10.1002/gbc.20053
East Asia;All_crops;Pcp_returned_East Asia;0.24;Proportion;Conant_et_al;Global_Biogeochemical_Cycles ;2013;Auxiliary_Table_2;https://doi.org/10.1002/gbc.20053
Eastern Europe;All_crops;Pcp_returned_Eastern Europe;0.5;Proportion;Conant_et_al;Global_Biogeochemical_Cycles ;2013;Auxiliary_Table_2;https://doi.org/10.1002/gbc.20053
Former USSR;All_crops;Pcp_returned_Former USSR;0.5;Proportion;Conant_et_al;Global_Biogeochemical_Cycles ;2013;Auxiliary_Table_2;https://doi.org/10.1002/gbc.20053
Japan;All_crops;Pcp_returned_Japan;0.7;Proportion;Conant_et_al;Global_Biogeochemical_Cycles ;2013;Auxiliary_Table_2;https://doi.org/10.1002/gbc.20053
Middle East;All_crops;Pcp_returned_Middle East;0.5;Proportion;Conant_et_al;Global_Biogeochemical_Cycles ;2013;Auxiliary_Table_2;https://doi.org/10.1002/gbc.20053
North Africa;All_crops;Pcp_returned_North Africa;0.54;Proportion;Conant_et_al;Global_Biogeochemical_Cycles ;2013;Auxiliary_Table_2;https://doi.org/10.1002/gbc.20053
Oceania;All_crops;Pcp_returned_Oceania;0.45;Proportion;Conant_et_al;Global_Biogeochemical_Cycles ;2013;Auxiliary_Table_2;https://doi.org/10.1002/gbc.20053
OECD Europe;All_crops;Pcp_returned_OECD Europe;0.35;Proportion;Conant_et_al;Global_Biogeochemical_Cycles ;2013;Auxiliary_Table_2;https://doi.org/10.1002/gbc.20053
Southern Africa;All_crops;Pcp_returned_Southern Africa;0.39;Proportion;Conant_et_al;Global_Biogeochemical_Cycles ;2013;Auxiliary_Table_2;https://doi.org/10.1002/gbc.20053
South America;All_crops;Pcp_returned_South America;0.5;Proportion;Conant_et_al;Global_Biogeochemical_Cycles ;2013;Auxiliary_Table_2;https://doi.org/10.1002/gbc.20053
South Asia;All_crops;Pcp_returned_South Asia;0.48;Proportion;Conant_et_al;Global_Biogeochemical_Cycles ;2013;Auxiliary_Table_2;https://doi.org/10.1002/gbc.20053
Southeast Asia;All_crops;Pcp_returned_Southeast Asia;0.56;Proportion;Conant_et_al;Global_Biogeochemical_Cycles ;2013;Auxiliary_Table_2;https://doi.org/10.1002/gbc.20053
USA;All_crops;Pcp_returned_USA;0.24;Proportion;Conant_et_al;Global_Biogeochemical_Cycles ;2013;Auxiliary_Table_2;https://doi.org/10.1002/gbc.20053
West Africa;All_crops;Pcp_returned_West Africa;0.22;Proportion;Conant_et_al;Global_Biogeochemical_Cycles ;2013;Auxiliary_Table_2;https://doi.org/10.1002/gbc.20053
