Region,Primary_reference_of_dataset,Reference_where_data_were_collated,Website_of_source_of_collated_data,Material,Default_N_content_kg_N_Mg_fresh_weight
Europe,"Dalgaard et al (2012) Dalgaard T, Bienkowski JF, Bleeker A, Dragosits U, Drouet J L, Durand P, Frumau A, Hutchings NJ, Kedziora A, Magliulo V, Olesen JE, Theobald MR, Maury O, Akkal N, and Cellier P (2012) Farm nitrogen balances in six European landscapes as an indicator for nitrogen losses and basis for improved management. Biogeosciences 9, 5303–5321.","EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Beet pulp (dried),14.4
Europe,"Dalgaard et al (2012) Dalgaard T, Bienkowski JF, Bleeker A, Dragosits U, Drouet J L, Durand P, Frumau A, Hutchings NJ, Kedziora A, Magliulo V, Olesen JE, Theobald MR, Maury O, Akkal N, and Cellier P (2012) Farm nitrogen balances in six European landscapes as an indicator for nitrogen losses and basis for improved management. Biogeosciences 9, 5303–5321.","EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Cereals,16.3
Europe,"Dalgaard et al (2012) Dalgaard T, Bienkowski JF, Bleeker A, Dragosits U, Drouet J L, Durand P, Frumau A, Hutchings NJ, Kedziora A, Magliulo V, Olesen JE, Theobald MR, Maury O, Akkal N, and Cellier P (2012) Farm nitrogen balances in six European landscapes as an indicator for nitrogen losses and basis for improved management. Biogeosciences 9, 5303–5321.","EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Eggs,18.1
Europe,"Dalgaard et al (2012) Dalgaard T, Bienkowski JF, Bleeker A, Dragosits U, Drouet J L, Durand P, Frumau A, Hutchings NJ, Kedziora A, Magliulo V, Olesen JE, Theobald MR, Maury O, Akkal N, and Cellier P (2012) Farm nitrogen balances in six European landscapes as an indicator for nitrogen losses and basis for improved management. Biogeosciences 9, 5303–5321.","EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Feed milk,56.3
Europe,"Dalgaard et al (2012) Dalgaard T, Bienkowski JF, Bleeker A, Dragosits U, Drouet J L, Durand P, Frumau A, Hutchings NJ, Kedziora A, Magliulo V, Olesen JE, Theobald MR, Maury O, Akkal N, and Cellier P (2012) Farm nitrogen balances in six European landscapes as an indicator for nitrogen losses and basis for improved management. Biogeosciences 9, 5303–5321.","EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Fertiliser nitrogen,1000
Europe,"Dalgaard et al (2012) Dalgaard T, Bienkowski JF, Bleeker A, Dragosits U, Drouet J L, Durand P, Frumau A, Hutchings NJ, Kedziora A, Magliulo V, Olesen JE, Theobald MR, Maury O, Akkal N, and Cellier P (2012) Farm nitrogen balances in six European landscapes as an indicator for nitrogen losses and basis for improved management. Biogeosciences 9, 5303–5321.","EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Fresh milk,5
Europe,"Dalgaard et al (2012) Dalgaard T, Bienkowski JF, Bleeker A, Dragosits U, Drouet J L, Durand P, Frumau A, Hutchings NJ, Kedziora A, Magliulo V, Olesen JE, Theobald MR, Maury O, Akkal N, and Cellier P (2012) Farm nitrogen balances in six European landscapes as an indicator for nitrogen losses and basis for improved management. Biogeosciences 9, 5303–5321.","EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Fresh green forage (alfalfa),6
Europe,"Dalgaard et al (2012) Dalgaard T, Bienkowski JF, Bleeker A, Dragosits U, Drouet J L, Durand P, Frumau A, Hutchings NJ, Kedziora A, Magliulo V, Olesen JE, Theobald MR, Maury O, Akkal N, and Cellier P (2012) Farm nitrogen balances in six European landscapes as an indicator for nitrogen losses and basis for improved management. Biogeosciences 9, 5303–5321.","EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Fresh green forage (grass),6.3
Europe,"Dalgaard et al (2012) Dalgaard T, Bienkowski JF, Bleeker A, Dragosits U, Drouet J L, Durand P, Frumau A, Hutchings NJ, Kedziora A, Magliulo V, Olesen JE, Theobald MR, Maury O, Akkal N, and Cellier P (2012) Farm nitrogen balances in six European landscapes as an indicator for nitrogen losses and basis for improved management. Biogeosciences 9, 5303–5321.","EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Fresh green forage (grass/clover),5.7
Europe,"Dalgaard et al (2012) Dalgaard T, Bienkowski JF, Bleeker A, Dragosits U, Drouet J L, Durand P, Frumau A, Hutchings NJ, Kedziora A, Magliulo V, Olesen JE, Theobald MR, Maury O, Akkal N, and Cellier P (2012) Farm nitrogen balances in six European landscapes as an indicator for nitrogen losses and basis for improved management. Biogeosciences 9, 5303–5321.","EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Full-ration concentrate mix,25.6
Europe,"Dalgaard et al (2012) Dalgaard T, Bienkowski JF, Bleeker A, Dragosits U, Drouet J L, Durand P, Frumau A, Hutchings NJ, Kedziora A, Magliulo V, Olesen JE, Theobald MR, Maury O, Akkal N, and Cellier P (2012) Farm nitrogen balances in six European landscapes as an indicator for nitrogen losses and basis for improved management. Biogeosciences 9, 5303–5321.","EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Hay,16
