Crops,Crop_product_concentration_N_kg_N_tonne,Crop_product_elemental_P_concentration_kg_P_tonne,Crop_product_elemental_K_concentration_kg_K_tonne,Crop_residue_concentration_N_kg_N_tonne,Crop_residue_elemental_P_concentration_kg_P_tonne,Crop_residue_elemental_K_concentration_kg_K_tonne,Crop_residue_proportion_removed_pc_Ghana,Crop_residue_proportion_removed_pc_Kenya,Crop_residue_proportion_removed_pc_Mali,Reference,,
Banana,1.2,0.3,4.5,1.6,0.3,11.9,10,20,NA,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Barley,15.5,2.8,6,7,1,21,NA,35,NA,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Cassava,4.2,0.5,4.3,4.6,0.9,1.4,40,20,20,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Cereals other,16.7,4.4,4.8,10.9,2.3,38.6,NA,NA,60,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Citrus,1.8,0.2,2.3,0.6,0.2,4.4,10,15,NA,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Cocoa,40,8.5,19.3,19.9,4.7,33.3,10,NA,NA,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Coconut,61,7.2,9.8,27,5.7,25.3,10,20,NA,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,, 
Coffee,35,2.6,16.8,4.3,3.8,9.3,10,15,NA,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Cotton,18.7,9.7,9,13.9,6,29.8,60,60,60,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Fibres,5,0.4,6,2.1,0.7,9,NA,NA,10,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Fruits other,2,0.2,2,1.8,0.2,4.9,40,50,50,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Groundnut,37.2,6,8.2,15.9,2.4,14.9,30,60,80,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Maize,16.8,4.1,4.8,9.7,1.9,21.4,30,75,80,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Millet,19.2,6,5.4,20.4,4,59.8,30,70,50,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Oil crops other,2.6,0.5,4.4,0.3,0.6,5.4,NA,NA,NA,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Oil-palm,2.9,0.7,4.1,3.7,0.6,3.3,10,NA,NA,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Plantain,0.7,0.1,3.4,1.2,0.3,6.4,10,20,NA,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Potato,4.4,1.3,6.9,2.3,0.7,4.5,NA,20,NA,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Pulses,20,3.4,11.1,10.4,1,13.1,30,70,80,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Rice,11.6,3.4,3.4,11.3,2.3,35.8,15,20,35,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Roots other,4.6,0.3,2.9,1.9,0.5,3.1,25,20,25,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Rubber,6.9,1.2,4.6,1,0.2,4,10,NA,NA,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Sesame,30,6.1,6.8,15,5.4,21.1,NA,75,NA,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Sorghum,14.5,5.5,3.8,10.8,4.6,29.2,30,70,50,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Soybean,62.1,10.9,20,17.6,3,14.4,NA,NA,NA,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Sugar cane,0.6,0.2,1.2,0.3,0.3,0.3,10,20,20,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Sunflower,24,3.5,5.5,23,3.2,41.3,NA,40,NA,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Sweet potato,4.8,0.8,7.3,2.1,1.2,3.3,30,20,30,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Tea,35,3.8,13.4,0.1,0,0,NA,15,10,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Tobacco,56,8.2,72.7,0.1,0,0.2,10,20,10,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Vegetables,9,0.9,2.6,3.2,1.4,7.8,40,60,80,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
Wheat,22.3,4.3,5.8,4.3,1.8,26.7,NA,60,40,FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents,,
