Reference_where_data_were_collated,Website_of_source_of_collated_data,Primary_reference_of_dataset,Page_number,UN_crop_code_either_Group_Class_Subclass_Order,Title,Crop_type_Temporary_Permanent,,,,,,,,,,
"FAO (2015) World programme for the census of agriculture 2020, FAO statistical development series 15, 
Food and Agriculture Organization of the United Nations, Rome, Italy available at https://www.fao.org/3/i4913e/i4913e.pdf",https://www.fao.org/3/i4913e/i4913e.pdf,"FAO (2015) World programme for the census of agriculture 2020, FAO statistical development series 15, 
Food and Agriculture Organization of the United Nations, Rome, Italy available at https://www.fao.org/3/i4913e/i4913e.pdf",165-168 Annex 4,1,Cereals,T,,,,,,,,,,
"FAO (2015) World programme for the census of agriculture 2020, FAO statistical development series 15, 
Food and Agriculture Organization of the United Nations, Rome, Italy available at https://www.fao.org/3/i4913e/i4913e.pdf",https://www.fao.org/3/i4913e/i4913e.pdf,"FAO (2015) World programme for the census of agriculture 2020, FAO statistical development series 15, 
Food and Agriculture Organization of the United Nations, Rome, Italy available at https://www.fao.org/3/i4913e/i4913e.pdf",165-168 Annex 4,1.01,Wheat,T,,,,,,,,,,
"FAO (2015) World programme for the census of agriculture 2020, FAO statistical development series 15, 
Food and Agriculture Organization of the United Nations, Rome, Italy available at https://www.fao.org/3/i4913e/i4913e.pdf",https://www.fao.org/3/i4913e/i4913e.pdf,"FAO (2015) World programme for the census of agriculture 2020, FAO statistical development series 15, 
Food and Agriculture Organization of the United Nations, Rome, Italy available at https://www.fao.org/3/i4913e/i4913e.pdf",165-168 Annex 4,1.02,Maize,T,,,,,,,,,,
"FAO (2015) World programme for the census of agriculture 2020, FAO statistical development series 15, 
Food and Agriculture Organization of the United Nations, Rome, Italy available at https://www.fao.org/3/i4913e/i4913e.pdf",https://www.fao.org/3/i4913e/i4913e.pdf,"FAO (2015) World programme for the census of agriculture 2020, FAO statistical development series 15, 
Food and Agriculture Organization of the United Nations, Rome, Italy available at https://www.fao.org/3/i4913e/i4913e.pdf",165-168 Annex 4,1.03,Rice,T,,,,,,,,,,
"FAO (2015) World programme for the census of agriculture 2020, FAO statistical development series 15, 
Food and Agriculture Organization of the United Nations, Rome, Italy available at https://www.fao.org/3/i4913e/i4913e.pdf",https://www.fao.org/3/i4913e/i4913e.pdf,"FAO (2015) World programme for the census of agriculture 2020, FAO statistical development series 15, 
Food and Agriculture Organization of the United Nations, Rome, Italy available at https://www.fao.org/3/i4913e/i4913e.pdf",165-168 Annex 4,1.04,Sorghum,T,,,,,,,,,,
"FAO (2015) World programme for the census of agriculture 2020, FAO statistical development series 15, 
Food and Agriculture Organization of the United Nations, Rome, Italy available at https://www.fao.org/3/i4913e/i4913e.pdf",https://www.fao.org/3/i4913e/i4913e.pdf,"FAO (2015) World programme for the census of agriculture 2020, FAO statistical development series 15, 
Food and Agriculture Organization of the United Nations, Rome, Italy available at https://www.fao.org/3/i4913e/i4913e.pdf",165-168 Annex 4,1.05,Barley,T,,,,,,,,,,
"FAO (2015) World programme for the census of agriculture 2020, FAO statistical development series 15, 
Food and Agriculture Organization of the United Nations, Rome, Italy available at https://www.fao.org/3/i4913e/i4913e.pdf",https://www.fao.org/3/i4913e/i4913e.pdf,"FAO (2015) World programme for the census of agriculture 2020, FAO statistical development series 15, 
Food and Agriculture Organization of the United Nations, Rome, Italy available at https://www.fao.org/3/i4913e/i4913e.pdf",165-168 Annex 4,1.06,Rye,T,,,,,,,,,,
"FAO (2015) World programme for the census of agriculture 2020, FAO statistical development series 15, 
Food and Agriculture Organization of the United Nations, Rome, Italy available at https://www.fao.org/3/i4913e/i4913e.pdf",https://www.fao.org/3/i4913e/i4913e.pdf,"FAO (2015) World programme for the census of agriculture 2020, FAO statistical development series 15, 
Food and Agriculture Organization of the United Nations, Rome, Italy available at https://www.fao.org/3/i4913e/i4913e.pdf",165-168 Annex 4,1.07,Oats,T,,,,,,,,,,
"FAO (2015) World programme for the census of agriculture 2020, FAO statistical development series 15, 
Food and Agriculture Organization of the United Nations, Rome, Italy available at https://www.fao.org/3/i4913e/i4913e.pdf",https://www.fao.org/3/i4913e/i4913e.pdf,"FAO (2015) World programme for the census of agriculture 2020, FAO statistical development series 15, 
Food and Agriculture Organization of the United Nations, Rome, Italy available at https://www.fao.org/3/i4913e/i4913e.pdf",165-168 Annex 4,1.08,Millet,T,,,,,,,,,,
"FAO (2015) World programme for the census of agriculture 2020, FAO statistical development series 15, 
Food and Agriculture Organization of the United Nations, Rome, Italy available at https://www.fao.org/3/i4913e/i4913e.pdf",https://www.fao.org/3/i4913e/i4913e.pdf,"FAO (2015) World programme for the census of agriculture 2020, FAO statistical development series 15, 
Food and Agriculture Organization of the United Nations, Rome, Italy available at https://www.fao.org/3/i4913e/i4913e.pdf",165-168 Annex 4,1.09,Triticale,T,,,,,,,,,,
