Item Code,Item,Source,Crop,Average,N_Grain,N_Plant,N,P_Grain,P_Plant,P,K_Grain,K_Plant,K,S_Grain,S_Plant,S,Legume,Primary_reference_of_dataset,Reference_where_data_were_collated,Website_of_source_of_collated_data
15,Wheat,https://www.ipni.net/app/calculator/home,Wheat (spring) grain + Wheat straw per unit of grain yield,0,21,12,33,4.1,1.2,5.3,4.6,16.6,21.2,1.7,2.3,4,0,https://www.ipni.net/app/calculator/home,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
27,"Rice, paddy",https://www.ipni.net/app/calculator/home,Rice grain + Rice straw,0,13,8.3,21.3,2.9,1.2,4.1,3,17.4,20.4,0,,0,0,https://www.ipni.net/app/calculator/home,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
44,Barley,https://www.ipni.net/app/calculator/home,Barley grain + Barley straw per unit of grain yield,0,21,8.3,29.3,3.6,1.4,5,5.6,20.8,26.4,1.9,2.1,4,0,https://www.ipni.net/app/calculator/home,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
56,Maize,https://www.ipni.net/app/calculator/home,Corn grain + Corn stover per unit of grain yield ,0,12,8,20,2.7,1.3,4,3.7,16.6,20.3,1.4,1.3,2.7,0,https://www.ipni.net/app/calculator/home,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
71,Rye,https://www.ipni.net/app/calculator/home,Rye grain + Rye straw per unit of grain yield,0,25,14,39,3.6,1.7,5.3,4.6,22.4,27,1.8,2.5,4.3,0,https://www.ipni.net/app/calculator/home,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
75,Oats,https://www.ipni.net/app/calculator/home,Oat grain + Oat straw per unit of grain yield,0,24,9.7,33.7,3.8,2.2,6,4.9,24.1,29,2.2,3.4,5.6,0,https://www.ipni.net/app/calculator/home,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
79,Millet,https://www.ipni.net/app/calculator/home,Millet grain + Millet straw,0,28,7.7,25.7,3.5,1,4.5,6.6,16.6,23.2,1.6,,1.6,0,https://www.ipni.net/app/calculator/home,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
83,Sorghum,https://www.ipni.net/app/calculator/home,Sorghum grain + Sorghum stover per unit of grain yield,0,13,11,24,3.4,1.4,4.8,4.5,14.1,18.6,1.2,2.4,3.6,0,https://www.ipni.net/app/calculator/home,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
89,Buckwheat,https://www.ipni.net/app/calculator/home,Buckwheat,0,17,,17,2.2,,2.2,3.7,,3.7,0,,0,0,https://www.ipni.net/app/calculator/home,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
92,Quinoa,,Average of other cereals,1,,,,,,0,,,0,,,0,0,,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
94,Fonio,,Average of other cereals,1,,,,,,0,,,0,,,0,0,,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
97,Triticale,,Average of other cereals,1,,,,,,0,,,0,,,0,0,,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
101,Canary seed,https://www.ipni.net/app/calculator/home,Reed canary grass (DM),0,15,,15,2.9,,2.9,10.8,,10.8,0,,0,0,https://www.ipni.net/app/calculator/home,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
103,"Grain, mixed",,Average of other cereals,1,,,,,,0,,,0,,,0,0,,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
108,"Cereals, nes",,Average of other cereals,1,,,,,,0,,,0,,,0,0,,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
116,Potatoes,https://www.ipni.net/app/calculator/home,"Potato tuber + Potato, above-ground stems and leaves",0,3,2,5,0.7,0.2,0.9,5.4,2.5,7.9,0.3,0.2,0.5,0,https://www.ipni.net/app/calculator/home,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
122,Sweet potatoes,https://www.ipni.net/app/calculator/home,"Sweet potatoes + Potato, above-ground stems and leaves",0,5.2,2,7.2,1,0.2,1.2,8.3,2.5,10.8,0,0.2,0.2,0,https://www.ipni.net/app/calculator/home,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
125,Cassava,http://www.nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,Cassava,0,2,,,9,,9,2.49,,2.49,,,0,0,http://www.nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
135,Yautia (cocoyam),,Average of other roots and tubers,1,,,,,,0,,,0,,,0,0,,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
