Item Group Code,Item Group,Item Code,Item,Factor,HS Code,HS07 Code,HS12 Code,CPC Code
QA,Live Animals,1756,Live Animals,1,,,,F1756
QL,Livestock primary,1777,"Hides and skins, primary",1,,,,F1777
1806,Beef and Buffalo Meat,947,"Meat, buffalo",1,,"020110, 020120, 020130, 020210, 020220, 020230","020110, 020120, 020130, 020210, 020220, 020230",21112
1806,Beef and Buffalo Meat,867,"Meat, cattle",1,,"020110, 020120, 020210, 020220","020110, 020120, 020210, 020220",21111.01
1811,Butter and Ghee,983,"Butter and ghee, sheep milk",1,,"040510, 040520, 040590","040510, 040520, 040590",22249.01
1811,Butter and Ghee,952,"Butter, buffalo milk",1,,"040510, 040520","040510, 040520",22242.01
1811,Butter and Ghee,886,"Butter, cow milk",1,,"040510, 040520","040510, 040520",22241.01
1811,Butter and Ghee,1022,"Butter, goat milk",1,,"040510, 040520, 040590","040510, 040520, 040590",22249.02
1811,Butter and Ghee,953,"Ghee, buffalo milk",1,,40590,40590,22242.02
1811,Butter and Ghee,887,"Ghee, butteroil of cow milk",1,,40590,40590,22241.02
1746,Cattle and Buffaloes,946,Buffaloes,1,,"010210, 010290","010231, 010239",2112
1746,Cattle and Buffaloes,866,Cattle,1,,"010210, 010290","010221, 010229",2111
1717,"Cereals, Total",44,Barley,1,,100300,"100310, 100390",115
1717,"Cereals, Total",89,Buckwheat,1,,100810,100810,1192
1717,"Cereals, Total",101,Canary seed,1,,100830,100830,1195
1717,"Cereals, Total",108,Cereals nes,1,,100890,100890,1199.9
1717,"Cereals, Total",94,Fonio,1,,100890,100840,1193
1717,"Cereals, Total",103,"Grain, mixed",1,,100890,100890,1199.02
1717,"Cereals, Total",56,Maize,1,,"100510, 100590","100510, 100590",112
1717,"Cereals, Total",79,Millet,1,,100820,"100821, 100829",118
1717,"Cereals, Total",75,Oats,1,,100400,"100410, 100490",117
1717,"Cereals, Total",92,Quinoa,1,,100890,100850,1194
1717,"Cereals, Total",27,"Rice, paddy",1,,100610,100610,113
1717,"Cereals, Total",71,Rye,1,,100200,"100210, 100290",116
1717,"Cereals, Total",83,Sorghum,1,,100700,"100710, 100790",114
1717,"Cereals, Total",97,Triticale,1,,100890,100860,1191
1717,"Cereals, Total",15,Wheat,1,,"100110, 100190","100111, 100119, 100191, 100199",111
1745,Cheese (All Kinds),955,"Cheese, buffalo milk",1,,"040610, 040620, 040630, 040640, 040690","040610, 040620, 040630, 040640, 040690",22252
1745,Cheese (All Kinds),1021,"Cheese, goat milk",1,,"040610, 040620, 040630, 040640, 040690","040610, 040620, 040630, 040640, 040690",22254
1745,Cheese (All Kinds),984,"Cheese, sheep milk",1,,"040610, 040620, 040630, 040640, 040690","040610, 040620, 040630, 040640, 040690",22253
1745,Cheese (All Kinds),904,"Cheese, skimmed cow milk",1,,"040610, 040620, 040630, 040640, 040690","040610, 040620, 040630, 040640, 040690",22251.02
1745,Cheese (All Kinds),901,"Cheese, whole cow milk",1,,"040610, 040620, 040630, 040640, 040690","040610, 040620, 040630, 040640, 040690",22251.01
1804,"Citrus Fruit, Total",512,"Fruit, citrus nes",1,,80590,80590,1329
1804,"Citrus Fruit, Total",507,Grapefruit (inc. pomelos),1,,80540,80540,1321
1804,"Citrus Fruit, Total",497,Lemons and limes,1,,80550,80550,1322
1804,"Citrus Fruit, Total",490,Oranges,1,,80510,80510,1323
1804,"Citrus Fruit, Total",495,"Tangerines, mandarins, clementines, satsumas",1,,80520,80520,1324
1714,Crops Primary,800,Agave fibres nes,1,,530500,530500,1929.06
1714,Crops Primary,221,"Almonds, with shell",1,,80211,80211,1371
