Item_code,Item,Variable,Value,Primary_reference_of_dataset,Reference_where_data_were_collated,Website_of_source_of_collated_data
176,"Beans, dry",N_fixed_metric_t_fixed_per_metric_tonne_crop_product,0.03,"N fixation data came from http://fenix.fao.org/faostat/internal/en/#data/QCL and Zhang, X. et al. Managing nitrogen for sustainable development. Nature 528, 51-59 (2015).","FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
181,"Broad beans, horse beans, dry",N_fixed_metric_t_fixed_per_metric_tonne_crop_product,0.07,"N fixation data came from http://fenix.fao.org/faostat/internal/en/#data/QCL and Zhang, X. et al. Managing nitrogen for sustainable development. Nature 528, 51-59 (2015).","FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
187,"Peas, dry",N_fixed_metric_t_fixed_per_metric_tonne_crop_product,0.05,"N fixation data came from http://fenix.fao.org/faostat/internal/en/#data/QCL and Zhang, X. et al. Managing nitrogen for sustainable development. Nature 528, 51-59 (2015).","FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
191,Chick peas,N_fixed_metric_t_fixed_per_metric_tonne_crop_product,0.07,"N fixation data came from http://fenix.fao.org/faostat/internal/en/#data/QCL and Zhang, X. et al. Managing nitrogen for sustainable development. Nature 528, 51-59 (2015).","FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
195,"Cow peas, dry",N_fixed_metric_t_fixed_per_metric_tonne_crop_product,0.05,"N fixation data came from http://fenix.fao.org/faostat/internal/en/#data/QCL and Zhang, X. et al. Managing nitrogen for sustainable development. Nature 528, 51-59 (2015).","FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
197,Pigeon peas,N_fixed_metric_t_fixed_per_metric_tonne_crop_product,0.05,"N fixation data came from http://fenix.fao.org/faostat/internal/en/#data/QCL and Zhang, X. et al. Managing nitrogen for sustainable development. Nature 528, 51-59 (2015).","FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
201,Lentils,N_fixed_metric_t_fixed_per_metric_tonne_crop_product,0.05,"N fixation data came from http://fenix.fao.org/faostat/internal/en/#data/QCL and Zhang, X. et al. Managing nitrogen for sustainable development. Nature 528, 51-59 (2015).","FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
203,Bambara beans,N_fixed_metric_t_fixed_per_metric_tonne_crop_product,0.05,"N fixation data came from http://fenix.fao.org/faostat/internal/en/#data/QCL and Zhang, X. et al. Managing nitrogen for sustainable development. Nature 528, 51-59 (2015).","FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
211,"Pulses, nes",N_fixed_metric_t_fixed_per_metric_tonne_crop_product,0.05,"N fixation data came from http://fenix.fao.org/faostat/internal/en/#data/QCL and Zhang, X. et al. Managing nitrogen for sustainable development. Nature 528, 51-59 (2015).","FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
236,Soybeans,N_fixed_metric_t_fixed_per_metric_tonne_crop_product,0.08,"N fixation data came from http://fenix.fao.org/faostat/internal/en/#data/QCL and Zhang, X. et al. Managing nitrogen for sustainable development. Nature 528, 51-59 (2015).","FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
