Reference_where_data_were_collated,Website_of_source_of_collated_data,Primary_reference_of_dataset, Crop_FAO , Crop_IFA , Crop_family , Crop_family_number ,Crop_product_N_concentration_kg_N_t, Biological_Fixation_kg_N _t, Recycled_N_kg_N_t,Crop_product_kg_P2O5_t,Crop_product_kg_K2O_t, Recycled_P2O5_kg_P2O5_t, Recycled_K2O_kg_K2O_t,test,test_1, Estimate (=% prot / 0.625) , Note , Crop_families ,Crop_family_numbers
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,, Agave fibres nes ,, Fibers ,9,5,,,2.5,4,,,,,,, Cereals & grains ,1
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,21.00%," Almonds, with shell ",, Nuts ,5,33.6,,,16.8,26.9,,,*, proteins ,33.6 g N/t,, Fibers ,9
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,12.00%," Anise, badian, fennel, coriander ",, Other crops ,19,19,,,9.5,15.2,,,*, proteins ,19.2 g N/t,, Fodder  ,10
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,APRIFEL, Apples , Apple , Fruits ,8,3,,,1.5,2.4,,,*,,,, Fruits ,8
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,APRIFEL, Apricots , Peaches , Fruits ,8,3.2,,,1.6,2.6,,,*,,,, Leguminous ,4
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,, Areca nuts ,, Nuts ,5,,,, -     , -     ,,,,,,, Nuts ,5
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,3.10%, Artichokes ,, Vegetables  ,7,5,,,2.5,4,,,*, proteins ,5.0 g N/t,, Oilseeds ,2
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,2.50%, Asparagus ,, Vegetables  ,7,3.9,,,2,3.1,,,*, proteins ,3.9 g N/t,, Other crops ,19
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,1.60%, Avocados ,, Vegetables  ,7,2.6,,,1.3,2.1,,,*, proteins ,2.6 g N/t,, Sugar ,6
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,Estimate, Bambara beans ,, Leguminous ,4,23,23,,11.5,18.4,,,*,,,, Trees ,11
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,1.40%, Bananas , Banana , Fruits ,8,2.2,,,1.1,1.8,,,*, proteins ,2.2 g N/t, 0.75% - 1.9% , Tubers & roots ,3
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,IPNI + Comifer, Barley , Barley (winter) , Cereals & grains ,1,16,,,8.3,6.7,,,*,,,, Vegetables  ,7
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,Estimate," Bastfibres, other ",, Fibers ,9,5,,,2.5,4,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,IFA world fertilizer use manual," Beans, dry ", Beans (dry) , Leguminous ,4,40,40,,13,32,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,Estimate," Beans, green ",, Leguminous ,4,3.4,3.4,,1.7,2.7,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,, Berries nes ,, Fruits ,8,,,, -     , -     ,,,,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,, Blueberries ,, Fruits ,8,,,, -     , -     ,,,,,,, ,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,14.30%," Brazil nuts, with shell ",, Nuts ,5,23,,,11.5,18.4,,,*, proteins ,22.9 g N/t,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,Estimate," Broad beans, horse beans, dry ",, Leguminous ,4,23,23,,11.5,18.4,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,IPNI, Buckwheat ,, Cereals & grains ,1,17,,,5,4.4,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,IPNI, Cabbages and other brassicas , Cabbage , Vegetables  ,7,3.9,,,0.9,3.6,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,, Canary seed ,, Oilseeds ,2,,,, -     , -     ,,,,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,4.60%, Carobs ,, Leguminous ,4,7.4,7.4,,3.7,5.9,,,*, proteins ,7.4 g N/t,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,IFA world fertilizer use manual, Carrots and turnips , Carrot , Tubers & roots ,3,2.9,,,1.5,2.3,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,18.60%," Cashew nuts, with shell ",, Nuts ,5,30,,,15,24,,,*, proteins ,29.8 g N/t,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,, Cashewapple ,, Fruits ,8,,,, -     , -     ,,,,,, Anacardier ,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,IFA world fertilizer use manual, Cassava , Cassava , Tubers & roots ,3,1.6,,,0.8,1.3,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,, Cassava leaves ,, Vegetables  ,7,,,, -     , -     ,,,,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,, Castor oil seed ,, Oilseeds ,2,,,, -     , -     ,,,,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,Comifer, Cauliflowers and broccoli , Cauliflowers and broccoli , Vegetables  ,7,4.5,,,2.3,3.6,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,Estimate," Cereals, nes ",, Cereals & grains ,1,15,,,5,5,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,, Cherries ,, Fruits ,8,,,, -     , -     ,,,,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,," Cherries, sour ",, Fruits ,8,,,, -     , -     ,,,,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,, Chestnut ,, Nuts ,5,,,, -     , -     ,,,,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,Estimate, Chick peas ,, Leguminous ,4,23,23,,11.5,18.4,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,, Chicory roots ,, Tubers & roots ,3,,,, -     , -     ,,,,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,Estimate," Chillies and peppers, dry ",, Vegetables  ,7,5,,,2.5,4,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,"Liu et al., 2012"," Chillies and peppers, green ",, Vegetables  ,7,2.9,,,1.5,2.3,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,4.00%, Cinnamon (canella) ,, Other crops ,19,6.5,,,3.3,5.2,,,*, proteins ,6.4 g N/t,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,Estimate, Cloves ,, Other crops ,19,30,,,15,24,,,*,,, Clous de girofle ,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,IFA world fertilizer use manual," Cocoa, beans ", Cocoa beans , Trees ,11,35.1,,,17.5,28,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,6.60%, Coconuts ,, Trees ,11,11,,,5.5,8.8,,,*, proteins ,10.6 g N/t,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,IFA world fertilizer use manual," Coffee, green ", Coffee green , Trees ,11,30,,,15,24,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,Estimate, Coir ,, Fibers ,9,5,,,2.5,4,,,*,,, coco ,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,, Cotton lint ,,,,,,, -     , -     ,,,,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,, Cottonseed ,,,,,,, -     , -     ,,,,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,Estimate," Cow peas, dry ",, Leguminous ,4,23,23,,11.5,18.4,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,, Cranberries ,, Fruits ,8,,,, -     , -     ,,,,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,Comifer, Cucumbers and gherkins ,, Vegetables  ,7,2.2,,,1.1,1.8,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,, Currants ,, Fruits ,8,,,, -     , -     ,,,,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,2.60%, Dates ,, Fruits ,8,4.2,,,2.1,3.4,,,*, proteins ,4.2 g N/t,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,Comifer, Eggplants (aubergines) , Eggplant , Vegetables  ,7,5,,,2.5,4,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,Estimate, Fibre crops nes ,, Fibers ,9,5,,,2.5,4,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,, Figs ,, Fruits ,8,,,, -     , -     ,,,,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,Comifer, Flax fibre and tow , Fiber flax , Fibers ,9,5.6,,,2.8,4.5,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,Estimate, Fonio , Fonio , Cereals & grains ,1,12.8,,,5,5,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,1.30%," Fruit, citrus nes ", Citrus fruit , Fruits ,8,2,,,1,1.6,,,*, proteins ,2.0 g N/t,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,Estimate," Fruit, fresh nes ", Fruits , Fruits ,8,3,,,1.5,2.4,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,Estimate," Fruit, pome nes ", Fruits , Fruits ,8,3,,,1.5,2.4,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,Estimate," Fruit, stone nes ", Fruits , Fruits ,8,3,,,1.5,2.4,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,Estimate," Fruit, tropical fresh nes ", Fruits , Fruits ,8,3,,,1.5,2.4,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,Estimate, Garlic , Garlic , Vegetables  ,7,4,,,2,3.2,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,1.10%, Ginger ,, Vegetables  ,7,1.8,,,0.9,1.4,,,*, proteins ,1.8 g N/t,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,, Gooseberries ,, Fruits ,8,,,, -     , -     ,,,,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,Estimate," Grain, mixed ",, Cereals & grains ,1,15,,,5,5,,,*,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,, Grapefruit (inc. pomelos) ,, Fruits ,8,,,, -     , -     ,,,,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,0.80%, Grapes , Vine , Fruits ,8,1.3,,,0.7,1,,,*, proteins ,1.3 g N/t,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,IPNI," Groundnuts, with shell ", Groundnuts , Oilseeds ,2,35,29,,5.5,8.5,,,*, proteins ,#VALUE!,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,," Gums, natural ",, Other crops ,19,,,, -     , -     ,,,,,,,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,16.00%," Hazelnuts, with shell ",, Nuts ,5,25.6,,,12.8,20.5,,,*, proteins ,25.6 g N/t, 14.3 to 18.2% ,,
International Fertilizer Association (2020),https://api.ifastat.org/reports/download/12965,Estimate, Hemp tow waste ,, Fibers ,9,5,,,2.5,4,,,*,,,,,
