FAO_CODES,ITEM,N_content_pc,Reference
641,Alfalfa for forage and silage,0.560,Lassaletta et al. (2012)
862,Alfalfa Meal and Pellets,1.120,*
231,Almonds Shelled,3.200,FAO (2011)
221,"Almonds, with shell",1.280,FAO (2011)
711,"Anise, badian, fennel, corian.",0.050,FAO (2011)
519,"Apple juice, concentrated",0.080,FAO (2011)
518,"Apple juice, single strength",0.016,FAO (2011)
515,Apples,0.050,FAO (2011)
526,Apricots,0.208,FAO (2011)
226,Arecanuts,0.784,FAO (2011)
366,Artichokes,0.320,Lassaletta et al. (2012)
367,Asparagus,0.256,FAO (2011)
572,Avocados,0.240,FAO (2011)
1039,Bacon and Ham,2.096,FAO (2011)
170,Bagasse,1.980,*
203,Bambara beans,2.832,FAO (2011)
486,Bananas,0.112,FAO (2011)
44,Barley,1.760,FAO (2011)
48,Barley Flour and Grits,1.472,FAO (2011)
46,Barley Pearled,1.440,FAO (2011)
176,"Beans, dry",3.536,FAO (2011)
414,"Beans, green",0.480,FAO (2011)
51,Beer of Barley,0.080,FAO (2011)
86,Beer of Sorghum,0.064,FAO (2011)
1183,Beeswax,0.000,*
169,Beet Pulp,1.714,Asamala et al. (2011)
647,Beets for Fodder,0.150,Lassaletta et al. (2012)
558,Berries Nes,0.160,FAO (2011)
634,Bever. Dist.Alc,0.000,FAO (2011)
633,Beverage Non-Alc,0.000,FAO (2011)
1089,"Bird meat, nes",2.930,Han et al. (2009)
552,Blueberries,0.112,FAO (2011)
91,Bran Buckwheat,1.760,FAO (2011)
47,Bran of Barley,1.760,FAO (2011)
112,Bran of Cereals,2.460,Asamala et al. (2011)
96,Bran of Fonio,1.280,FAO (2011)
59,Bran of Maize,1.520,FAO (2011)
81,Bran of Millet,1.552,FAO (2011)
105,Bran of Mixed Grains,1.280,FAO (2011)
77,Bran of Oats,2.080,FAO (2011)
213,Bran of Pulses,3.536,FAO (2011)
35,Bran of Rice,2.128,FAO (2011)
73,Bran of Rye,1.760,FAO (2011)
85,Bran of Sorghum,1.616,FAO (2011)
17,Bran of Wheat,1.936,FAO (2011)
229,Brazil Nuts Shelled,2.288,FAO (2011)
216,"Brazil nuts, with shell",1.104,FAO (2011)
20,Bread,1.312,FAO (2011)
41,Breakfast Cereals,1.184,FAO (2011)
181,"Broad beans, horse beans, dry",3.744,FAO (2011)
89,Buckwheat,1.760,FAO (2011)
947,Buffalo meat,1.808,FAO (2011)
21,Bulgur,1.952,FAO (2011)
886,Butter Cow Milk,0.144,FAO (2011)
264,Butter of Karite Nuts,0.000,FAO (2011)
983,"Butter,Ghee of Sheep Milk",0.096,FAO (2011)
893,"Butterm.,Curdl,Acid.Milk",0.480,FAO (2011)
358,Cabbages and other brassicas,0.357,Asamala et al. (2011)
