Region,Original_crop_category,Original_crop,Crop_component,P_pc_DM,sd_P_pc_DM,No_samples_P_pc_DM,Primary_reference_of_dataset,Comment,DM_pc,sd_DM_pc,Ratio_crop_residue_to_crop_products,Harvest_index,Ratio_residues_removed_from_field,Reference_where_data_were_collated,Website_of_source_of_collated_data
European Union and United Kingdom,Cereals,Soft wheat,Crop_products,0.3559,0.0594,332,"Gallet et al. (2003), Sauvant et al. (2004), Piccoli et al. (2021) and Ehlert et al. (2009)",,86,8,0.96,0.510204082,0.5,"Panagos et al (2022) Phosphorus plant removal from European agricultural land Journal of Consumer Protection and Food Safety 17,5-10: https://doi.org/10.1007/s00003-022-01363-3",https://link.springer.com/article/10.1007/s00003-022-01363-3
European Union and United Kingdom,Cereals,Durum wheat,Crop_products,0.3881,0.0571,1,Sauvant et al. (2004),,86,8,0.96,0.510204082,0.5,"Panagos et al (2022) Phosphorus plant removal from European agricultural land Journal of Consumer Protection and Food Safety 17,5-10: https://doi.org/10.1007/s00003-022-01363-3",https://link.springer.com/article/10.1007/s00003-022-01363-3
European Union and United Kingdom,Cereals,Rye,Crop_products,0.3597,0.0023,52,Sauvant et al. (2004) and Ehlert et al. (2009),,86,8,1.13,0.469483568,0.5,"Panagos et al (2022) Phosphorus plant removal from European agricultural land Journal of Consumer Protection and Food Safety 17,5-10: https://doi.org/10.1007/s00003-022-01363-3",https://link.springer.com/article/10.1007/s00003-022-01363-3
European Union and United Kingdom,Cereals,Meslin,Crop_products,0.3597,0.0023,52,Sauvant et al. (2004) and Ehlert et al. (2009),,86,8,1.13,0.469483568,0.5,"Panagos et al (2022) Phosphorus plant removal from European agricultural land Journal of Consumer Protection and Food Safety 17,5-10: https://doi.org/10.1007/s00003-022-01363-3",https://link.springer.com/article/10.1007/s00003-022-01363-3
European Union and United Kingdom,Cereals,Barley,Crop_products,0.4058,0.0245,289,"Gallet et al. (2003), Sauvant et al. (2004) and Ehlert et al. (2009)",,86,8,0.94,0.515463918,0.5,"Panagos et al (2022) Phosphorus plant removal from European agricultural land Journal of Consumer Protection and Food Safety 17,5-10: https://doi.org/10.1007/s00003-022-01363-3",https://link.springer.com/article/10.1007/s00003-022-01363-3
European Union and United Kingdom,Cereals,Oats,Crop_products,0.4392,0.0076,102,Sauvant et al. (2004) and Ehlert et al. (2009),,86,8,1.08,0.480769231,0.5,"Panagos et al (2022) Phosphorus plant removal from European agricultural land Journal of Consumer Protection and Food Safety 17,5-10: https://doi.org/10.1007/s00003-022-01363-3",https://link.springer.com/article/10.1007/s00003-022-01363-3
European Union and United Kingdom,Cereals,Grain maize,Crop_products,0.238,0.0484,317,"Sauvant et al. (2004), Fageria et al. (2013), Piccoli et al. (2021) and Giardini (2002)",,86,8,0.99,0.502512563,0.5,"Panagos et al (2022) Phosphorus plant removal from European agricultural land Journal of Consumer Protection and Food Safety 17,5-10: https://doi.org/10.1007/s00003-022-01363-3",https://link.springer.com/article/10.1007/s00003-022-01363-3
European Union and United Kingdom,Cereals,Other cereals,Crop_products,0.3559,0.0594,332,"Gallet et al (2003), Sauvant et al. (2004) and Ehlert et al. (2009)",Similar to wheat,86,8,0.96,0.510204082,0.5,"Panagos et al (2022) Phosphorus plant removal from European agricultural land Journal of Consumer Protection and Food Safety 17,5-10: https://doi.org/10.1007/s00003-022-01363-3",https://link.springer.com/article/10.1007/s00003-022-01363-3
European Union and United Kingdom,Cereals,Paddy rice,Crop_products,0.2072,0.0144,4,Sauvant et al. (2004) and Fageria et al. (2013),,87,8,1.52,0.396825397,0.5,"Panagos et al (2022) Phosphorus plant removal from European agricultural land Journal of Consumer Protection and Food Safety 17,5-10: https://doi.org/10.1007/s00003-022-01363-3",https://link.springer.com/article/10.1007/s00003-022-01363-3
European Union and United Kingdom,Oilseeds,Rape,Crop_products,0.703,0.0121,169,"Gallet et al. (2003), Sauvant et al. (2004) and Ehlert et al. (2009)",,86,8,1.74,0.364963504,0.2,"Panagos et al (2022) Phosphorus plant removal from European agricultural land Journal of Consumer Protection and Food Safety 17,5-10: https://doi.org/10.1007/s00003-022-01363-3",https://link.springer.com/article/10.1007/s00003-022-01363-3
