Original_region,Reference_where_data_were_collated,Website_of_source_of_collated_data,Primary_reference_of_dataset,Pub_page_Number,Original_crop,Original_crop_component,HI,N_content_kg_per_t,P2O5_content_kg_per_t,K2O_content_kg_per_t,Ca_content_kg_per_t,Mg_content_kg_per_t,S_content_kg_per_t,Cu_content_kg_per_t,Mn_content_kg_per_t,Zn_content_kg_per_t,Fe_uptake_kg_per_t,Mn_uptake_kg_per_t,Cu_uptake_kg_per_t,B_uptake_kg_per_t,Mo_uptake_kg_per_t
World,"Roy (2016) FAO Fertilizer and Plant Nutrition Bulletin: Plant nutrition for food security, Food and Agriculture Organization of the United Nations, Rome, Italy http://www.fao.org/3/a-a0443e.pdf",http://www.fao.org/3/a-a0443e.pdf,"Roy (2016) FAO Fertilizer and Plant Nutrition Bulletin: Plant nutrition for food security, Food and Agriculture Organization of the United Nations, Rome, Italy http://www.fao.org/3/a-a0443e.pdf",121,Rice,straw,0.4,5.8,2.3,16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
World,"Roy (2016) FAO Fertilizer and Plant Nutrition Bulletin: Plant nutrition for food security, Food and Agriculture Organization of the United Nations, Rome, Italy http://www.fao.org/3/a-a0443e.pdf",http://www.fao.org/3/a-a0443e.pdf,"Roy (2016) FAO Fertilizer and Plant Nutrition Bulletin: Plant nutrition for food security, Food and Agriculture Organization of the United Nations, Rome, Italy http://www.fao.org/3/a-a0443e.pdf",121,Wheat,straw,0.4,4.9,2.5,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
World,"Roy (2016) FAO Fertilizer and Plant Nutrition Bulletin: Plant nutrition for food security, Food and Agriculture Organization of the United Nations, Rome, Italy http://www.fao.org/3/a-a0443e.pdf",http://www.fao.org/3/a-a0443e.pdf,"Roy (2016) FAO Fertilizer and Plant Nutrition Bulletin: Plant nutrition for food security, Food and Agriculture Organization of the United Nations, Rome, Italy http://www.fao.org/3/a-a0443e.pdf",121,Sorghum,stalks,0.333,4,2.3,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
World,"Roy (2016) FAO Fertilizer and Plant Nutrition Bulletin: Plant nutrition for food security, Food and Agriculture Organization of the United Nations, Rome, Italy http://www.fao.org/3/a-a0443e.pdf",http://www.fao.org/3/a-a0443e.pdf,"Roy (2016) FAO Fertilizer and Plant Nutrition Bulletin: Plant nutrition for food security, Food and Agriculture Organization of the United Nations, Rome, Italy http://www.fao.org/3/a-a0443e.pdf",121,Pearl Millet,stalks,0.333,6.5,7.5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
World,"Roy (2016) FAO Fertilizer and Plant Nutrition Bulletin: Plant nutrition for food security, Food and Agriculture Organization of the United Nations, Rome, Italy http://www.fao.org/3/a-a0443e.pdf",http://www.fao.org/3/a-a0443e.pdf,"Roy (2016) FAO Fertilizer and Plant Nutrition Bulletin: Plant nutrition for food security, Food and Agriculture Organization of the United Nations, Rome, Italy http://www.fao.org/3/a-a0443e.pdf",121,Maize,stalks,0.4,5.9,3.1,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
World,"Roy (2016) FAO Fertilizer and Plant Nutrition Bulletin: Plant nutrition for food security, Food and Agriculture Organization of the United Nations, Rome, Italy http://www.fao.org/3/a-a0443e.pdf",http://www.fao.org/3/a-a0443e.pdf,"Roy (2016) FAO Fertilizer and Plant Nutrition Bulletin: Plant nutrition for food security, Food and Agriculture Organization of the United Nations, Rome, Italy http://www.fao.org/3/a-a0443e.pdf",121,Pulses,pulse,0.5,16,1.5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
World,"Roy (2016) FAO Fertilizer and Plant Nutrition Bulletin: Plant nutrition for food security, Food and Agriculture Organization of the United Nations, Rome, Italy http://www.fao.org/3/a-a0443e.pdf",http://www.fao.org/3/a-a0443e.pdf,"Roy (2016) FAO Fertilizer and Plant Nutrition Bulletin: Plant nutrition for food security, Food and Agriculture Organization of the United Nations, Rome, Italy http://www.fao.org/3/a-a0443e.pdf",121,Pea,Crop_products,0.286,11,5.8,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
World,"Roy (2016) FAO Fertilizer and Plant Nutrition Bulletin: Plant nutrition for food security, Food and Agriculture Organization of the United Nations, Rome, Italy http://www.fao.org/3/a-a0443e.pdf",http://www.fao.org/3/a-a0443e.pdf,"Roy (2016) FAO Fertilizer and Plant Nutrition Bulletin: Plant nutrition for food security, Food and Agriculture Organization of the United Nations, Rome, Italy http://www.fao.org/3/a-a0443e.pdf",121,Chickpea,Crop_products,0.5,11.9,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
World,"Roy (2016) FAO Fertilizer and Plant Nutrition Bulletin: Plant nutrition for food security, Food and Agriculture Organization of the United Nations, Rome, Italy http://www.fao.org/3/a-a0443e.pdf",http://www.fao.org/3/a-a0443e.pdf,"Roy (2016) FAO Fertilizer and Plant Nutrition Bulletin: Plant nutrition for food security, Food and Agriculture Organization of the United Nations, Rome, Italy http://www.fao.org/3/a-a0443e.pdf",121,Sugar-cane,trash,0.833,3.5,0.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North America,"Roy (2016) FAO Fertilizer and Plant Nutrition Bulletin: Plant nutrition for food security, Food and Agriculture Organization of the United Nations, Rome, Italy http://www.fao.org/3/a-a0443e.pdf",http://www.fao.org/3/a-a0443e.pdf,"Adapted from Zublina, 1991 (updated 1997).",154,Barley,grain,NA,18.2,7.8,5.2,0.5,1,1.6,0.016,0.016,0.031,NA,NA,NA,NA,NA
North America,"Roy (2016) FAO Fertilizer and Plant Nutrition Bulletin: Plant nutrition for food security, Food and Agriculture Organization of the United Nations, Rome, Italy http://www.fao.org/3/a-a0443e.pdf",http://www.fao.org/3/a-a0443e.pdf,"Adapted from Zublina, 1991 (updated 1997).",154,Barley,straw,NA,6.7,2.2,13.4,3.6,0.9,1.8,0.004,0.143,0.022,NA,NA,NA,NA,NA
North America,"Roy (2016) FAO Fertilizer and Plant Nutrition Bulletin: Plant nutrition for food security, Food and Agriculture Organization of the United Nations, Rome, Italy http://www.fao.org/3/a-a0443e.pdf",http://www.fao.org/3/a-a0443e.pdf,"Adapted from Zublina, 1991 (updated 1997).",154,Corn,grain,NA,16.1,6.3,4.8,0.2,1,1.2,0.007,0.011,0.018,NA,NA,NA,NA,NA
North America,"Roy (2016) FAO Fertilizer and Plant Nutrition Bulletin: Plant nutrition for food security, Food and Agriculture Organization of the United Nations, Rome, Italy http://www.fao.org/3/a-a0443e.pdf",http://www.fao.org/3/a-a0443e.pdf,"Adapted from Zublina, 1991 (updated 1997).",154,Corn,stover,NA,9.9,3.7,14.4,2.6,2,1.4,0.005,0.149,0.03,NA,NA,NA,NA,NA
North America,"Roy (2016) FAO Fertilizer and Plant Nutrition Bulletin: Plant nutrition for food security, Food and Agriculture Organization of the United Nations, Rome, Italy http://www.fao.org/3/a-a0443e.pdf",http://www.fao.org/3/a-a0443e.pdf,"Adapted from Zublina, 1991 (updated 1997).",154,Oats,grain,NA,19.5,7.8,5.9,0.8,1.2,2,0.012,0.047,0.02,NA,NA,NA,NA,NA
