Original_country,Original_state,Original_region,Reference_where_data_were_collated,Website_of_source_of_collated_data,Primary_reference_of_dataset,Original_crop,Original_crop_component,variable,value,Table_number
India,Odisha,India_Odisha,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",https://hdl.handle.net/10568/120507,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",Black gram bran,Crop_products,No_samples,11,5
India,Odisha,India_Odisha,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",https://hdl.handle.net/10568/120507,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",Broken rice,Crop_products,No_samples,3,5
India,Odisha,India_Odisha,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",https://hdl.handle.net/10568/120507,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",Chickpea bran,Crop_products,No_samples,1,5
India,Odisha,India_Odisha,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",https://hdl.handle.net/10568/120507,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",Chickpea powder,Crop_products,No_samples,1,5
India,Odisha,India_Odisha,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",https://hdl.handle.net/10568/120507,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",Commercial concentrate feed,Crop_products,No_samples,88,5
India,Odisha,India_Odisha,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",https://hdl.handle.net/10568/120507,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",Finger millet bran,Crop_products,No_samples,1,5
India,Odisha,India_Odisha,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",https://hdl.handle.net/10568/120507,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",Flattened rice bran,Crop_products,No_samples,1,5
India,Odisha,India_Odisha,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",https://hdl.handle.net/10568/120507,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",Gram flour,Crop_products,No_samples,1,5
India,Odisha,India_Odisha,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",https://hdl.handle.net/10568/120507,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",Green gram bran,Crop_products,No_samples,12,5
India,Odisha,India_Odisha,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",https://hdl.handle.net/10568/120507,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",Horse gram bran,Crop_products,No_samples,3,5
India,Odisha,India_Odisha,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",https://hdl.handle.net/10568/120507,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",Local concentrate feed,Crop_products,No_samples,35,5
India,Odisha,India_Odisha,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",https://hdl.handle.net/10568/120507,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",Maize flour,Crop_products,No_samples,35,5
India,Odisha,India_Odisha,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",https://hdl.handle.net/10568/120507,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",Maize grain,Crop_products,No_samples,1,5
India,Odisha,India_Odisha,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",https://hdl.handle.net/10568/120507,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",Oil cake,Crop_products,No_samples,25,5
India,Odisha,India_Odisha,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",https://hdl.handle.net/10568/120507,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",OMFED concentrate feed,Crop_products,No_samples,34,5
India,Odisha,India_Odisha,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",https://hdl.handle.net/10568/120507,"Swain et al (2022) Nutritional content of different feed and fodder resources in different agroclimatic zones of Odisha. ILRI Project Report. Nairobi, Kenya: ILRI.",Paddy husk,Crop_residues,No_samples,1,5
