Region,Original_crop,Crop_scientific_name,Crop_component,Variable,Units,Value,Primary_reference_of_dataset,Reference_where_data_were_collated,Website_of_source_of_collated_data,Table_in_reference,,,,,,,,,,,,
World,Barley,Hordeum vulgare,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,80,Sinclair and De Wit (1975),"Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,Rice,Oryza sativa,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,88,Sinclair and De Wit (1975),"Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,Rye,Secale cereale,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,82,Sinclair and De Wit (1975),"Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,Wheat,Triticum esculentum,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,82,Sinclair and De Wit (1975),"Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,Oat,Avena sativa,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,77,Sinclair and De Wit (1975),"Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,Mean for C3 cereals,,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,82,Sinclair and De Wit (1975),"Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,Sorghum,Sorghum vulgare,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,82,Sinclair and De Wit (1975),"Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,Popcorn,Zea mays praecox,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,80,Sinclair and De Wit (1975),"Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,Corn,Zea  mays,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,84,Sinclair and De Wit (1975),"Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,Mean for C4 cereals,,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,82,,"Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,"Bean, lima",Phaseolus vulgaris,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,70,Sinclair and De Wit (1975) and Petterson and Mackintosh (1994),"Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,Chickpea,Cicer arietinum—kabuli,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,74,Sinclair and De Wit (1975) and Petterson and Mackintosh (1994),"Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,Cowpea,Vigna unguiculata,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,69,Sinclair and De Wit (1975),"Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,Faba bean,Vicia faba,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,72,Petterson and Mackintosh (1994),"Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,Field pea,Pisum sativum,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,70,Sinclair and De Wit (1975) and Petterson and Mackintosh (1994),"Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,Pigeon pea,Cajanus cajan,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,69,Sinclair and De Wit (1975),"Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,Chickpea,Cicer arietinum—desi,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,71,Sinclair and De Wit (1975) and Petterson and Mackintosh (1994),"Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,"Bean, mung",Phaseolus aureus,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,66,Sinclair and De Wit (1975) and Petterson and Mackintosh (1994),"Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,Lentil,Lens culinaris,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,66,Sinclair and De Wit (1975) and Petterson and Mackintosh (1994),"Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,Lupin,Lupinus angustifolius,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,59,"Perry et al.
(1986) and  Petterson and Mackintosh (1994)","Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,Lupin,Lupinus cosentinii,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,58,"Perry et al.
(1986)","Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,Vetch,Vicia sativa,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,61,Petterson and Mackintosh (1994),"Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,Lupin,Lupinus albus,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,51,"Perry et al.
(1986) and  Petterson and Mackintosh (1994)","Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,Lupin,Lupinus luteus,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,49,"Perry et al.
(1986)","Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,Soybean,Glycine max,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,38,Sinclair and De Wit (1975),"Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,Peanut,Arachis hypogaea,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,25,Sinclair and De Wit (1975),"Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,Mean for legumes,,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,60,,"Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
World,Cotton,Gossypium hirsutum,Crop_products,Percentage_dry_matter_as_carbohydrates,Percentage,47,Sinclair and De Wit (1975),"Unkovich et al (2010) A review of biological yield and harvest index in Australian field crops, Advances in Agronomy, DOI: 10.1016/S0065-2113(10)05005-4",https://www.sciencedirect.com/science/article/abs/pii/S0065211310050054?via%3Dihub,Table 1,,,,,,,,,,,,
