Original_region,Reference_where_data_were_collated,Website_of_source_of_collated_data,Primary_reference_of_dataset,Original_crop,Original_crop_component,Crop_aggregate_category,Nutrient,Crop_nutrient_concentration_kg_nutrient,Unit
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),Wheat',Crop_products,'Wheat',N,0.01952,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),Rice',Crop_products,'Rice',N,0.016,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Maize',Crop_products,'Maize',N,0.0152,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Popcorn',Crop_products,'Maize',N,0.0152,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Rye',Crop_products,'Other Cereal Crops',N,0.0176,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Barley',Crop_products,'Other Cereal Crops',N,0.0176,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Oats',Crop_products,'Other Cereal Crops',N,0.0208,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Sorghum',Crop_products,'Other Cereal Crops',N,0.01616,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Millet',Crop_products,'Other Cereal Crops',N,0.01552,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Cereals; nes',Crop_products,'Other Cereal Crops',N,0.0128,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Buckwheat',Crop_products,'Other Cereal Crops',N,0.0176,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Canary seed',Crop_products,'Other Cereal Crops',N,0.0256,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Quinoa',Crop_products,'Other Cereal Crops',N,0.0192,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Fonio',Crop_products,'Other Cereal Crops',N,0.0128,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Triticale',Crop_products,'Other Cereal Crops',N,0.01856,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Mixed grain',Crop_products,'Other Cereal Crops',N,0.0128,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),Soybeans',Crop_products,'Soybean',N,0.0608,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Palm kernels',Crop_products,'Oil Palm',N,0.01168,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Oil palm fruit',Crop_products,'Oil Palm',N,0.015,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Palm oil',Crop_products,'Oil Palm',N,,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Coconuts',Crop_products,'Other Oil Crops',N,0.00272,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Groundnuts; with shell',Crop_products,'Other Oil Crops',N,0.02992,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Linseed',Crop_products,'Other Oil Crops',N,0.0288,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Rapeseed',Crop_products,'Other Oil Crops',N,0.03136,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Sunflower seed',Crop_products,'Other Oil Crops',N,0.01968,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Castor oil seed',Crop_products,'Other Oil Crops',N,0.0288,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Sesame seed',Crop_products,'Other Oil Crops',N,0.02832,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Mustard seed',Crop_products,'Other Oil Crops',N,0.03984,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Safflower seed',Crop_products,'Other Oil Crops',N,0.01552,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Poppy seed',Crop_products,'Other Oil Crops',N,0.0288,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Melonseed',Crop_products,'Other Oil Crops',N,0.02912,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Tallowtree Seeds',Crop_products,'Other Oil Crops',N,,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Kapokseed in Shell',Crop_products,'Other Oil Crops',N,0.048,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Hempseed',Crop_products,'Other Oil Crops',N,0.0352,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Karite Nuts (Sheanuts)',Crop_products,'Other Oil Crops',N,0.01088,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Tung Nuts',Crop_products,'Other Oil Crops',N,0.048,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Jojoba Seeds',Crop_products,'Other Oil Crops',N,0.03,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Oilseeds; Nes',Crop_products,'Other Oil Crops',N,0.02352,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Seed cotton',Crop_products,'Fibre Crops',N,0.029,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Cottonseed',Crop_products,'Fibre Crops',N,0.02768,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Kapok Fruit',Crop_products,'Fibre Crops',N,,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Flax fibre and tow',Crop_products,'Fibre Crops',N,0.00608,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Hemp Tow Waste',Crop_residues,'Fibre Crops',N,0.00128,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Cotton lint',Crop_products,'Fibre Crops',N,0.00088,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Jute',Crop_products,'Fibre Crops',N,0.00032,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Other Bastfibres',Crop_products,'Fibre Crops',N,0.00354,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Sisal',Crop_products,'Fibre Crops',N,0.027,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Agave Fibres Nes',Crop_products,'Fibre Crops',N,0.081,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Coir',Crop_products,'Fibre Crops',N,0.00752,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Manila Fibre (Abaca)',Crop_products,'Fibre Crops',N,0.0008,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Kapok Fibre',Crop_products,'Fibre Crops',N,0.01065,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Ramie',Crop_products,'Fibre Crops',N,0.00304,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Fibre Crops Nes',Crop_products,'Fibre Crops',N,0.00354,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Sugar beet',Crop_products,'Sugar Crops',N,0.00208,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Sugar cane',Crop_products,'Sugar Crops',N,0.00032,kg_nutrient_kg_fresh_weight
World,Zhang et al (2021),https://www.nature.com/articles/s43016-021-00318-5#additional-information,Lassaletta et al (2014),'Sugar crops; nes',Crop_products,'Sugar Crops',N,,kg_nutrient_kg_fresh_weight
