"Original_region","Reference_where_data_were_collated","Website_of_source_of_collated_data","Primary_reference_of_dataset"
"World","Bouwman et al (2017) Nature Scientific Reports, Lessons from temporal and spatial patterns in global use of N and P fertilizer on cropland, 7(40366) https://www.nature.com/articles/srep40366","https://static-content.springer.com/esm/art%3A10.1038%2Fsrep40366/MediaObjects/41598_2017_BFsrep40366_MOESM320_ESM.pdf","Bouwman et al (2017) Nature Scientific Reports, Lessons from temporal and spatial patterns in global use of N and P fertilizer on cropland, 7(40366) https://www.nature.com/articles/srep40366"
"Canada","Conant_et_al   2013","https://doi.org/10.1002/gbc.20053","Conant_et_al   2013"
"Central America","Conant_et_al   2013","https://doi.org/10.1002/gbc.20053","Conant_et_al   2013"
"East Africa","Conant_et_al   2013","https://doi.org/10.1002/gbc.20053","Conant_et_al   2013"
"East Asia","Conant_et_al   2013","https://doi.org/10.1002/gbc.20053","Conant_et_al   2013"
"Eastern Europe","Conant_et_al   2013","https://doi.org/10.1002/gbc.20053","Conant_et_al   2013"
"Former USSR","Conant_et_al   2013","https://doi.org/10.1002/gbc.20053","Conant_et_al   2013"
"Japan","Conant_et_al   2013","https://doi.org/10.1002/gbc.20053","Conant_et_al   2013"
"Middle East","Conant_et_al   2013","https://doi.org/10.1002/gbc.20053","Conant_et_al   2013"
"North Africa","Conant_et_al   2013","https://doi.org/10.1002/gbc.20053","Conant_et_al   2013"
"Oceania","Conant_et_al   2013","https://doi.org/10.1002/gbc.20053","Conant_et_al   2013"
"OECD Europe","Conant_et_al   2013","https://doi.org/10.1002/gbc.20053","Conant_et_al   2013"
"Southern Africa","Conant_et_al   2013","https://doi.org/10.1002/gbc.20053","Conant_et_al   2013"
"South America","Conant_et_al   2013","https://doi.org/10.1002/gbc.20053","Conant_et_al   2013"
"South Asia","Conant_et_al   2013","https://doi.org/10.1002/gbc.20053","Conant_et_al   2013"
"Southeast Asia","Conant_et_al   2013","https://doi.org/10.1002/gbc.20053","Conant_et_al   2013"
"USA","Conant_et_al   2013","https://doi.org/10.1002/gbc.20053","Conant_et_al   2013"
"West Africa","Conant_et_al   2013","https://doi.org/10.1002/gbc.20053","Conant_et_al   2013"
"Ghana","FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents","https://www.fao.org/3/y5749e/y5749e00.htm#Contents","FAO(2004) Scaling soil nutrient balances: Enabling mesolevel applications for African realities Table 15: https://www.fao.org/3/y5749e/y5749e00.htm#Contents"
