"Parameter","Description","Format","Units"
"tier","Tier of data, whereby Tier 1 indicates values to represent the world and Tier 2 indicated values to represent countries","Character","Character"
"region","Region values represent","Character","Character"
"country","Country name based on UN standard English categories","Character","Character"
"iso3_code","Three letter ISO3 UN code to signify country or region","Character","Character"
"item","Item (crop) name as per UN FAO standards","Character","Character"
"item_code","Item (crop) code as per UN FAO standards","Numeric","Numeric, integer"
"item_group_code","Item group (crop) code as per UN FAO standards","Numeric","Numeric, integer"
"crop_component","Crop component defined as either 'Crop_products' or 'Crop_residues'","Character","Character"
"DM_pc","Dry matter percentage of fresh weight","Numeric","Dry matter as a percentage of fresh weight"
"HI","Harvest index","Numeric","Harvest index as proportion of above ground biomass as crop products"
"N_pc","Nitrogen concentration on a dry matter basis","Numeric","Nitrogen as a percentage of dry matter"
"P_pc","Elemental phosphorus concentration on a dry matter basis","Numeric","Elemental phosphorus as a percentage of dry matter"
"K_pc","Elemental potassium concentration on a dry matter basis","Numeric","Elemental potassium as a percentage of dry matter"
"S_pc","Elemental sulphur concentration on a dry matter basis","Numeric","Elemental sulphur as a percentage of dry matter"
"N_pc_fresh","Nitrogen concentration on a fresh weight basis","Numeric","Nitrogen as a percentage of fresh weight"
"P_pc_fresh","Elemental phosphorus concentration on a fresh weight basis","Numeric","Elemental phosphorus as a percentage of fresh weight"
"K_pc_fresh","Elemental potassium concentration on a fresh weight basis","Numeric","Elemental potassium as a percentage of fresh weight"
"S_pc_fresh","Elemental sulphur concentration on a fresh weight basis","Numeric","Elemental sulphur as a percentage of fresh weight"
"N_kg_per_t_fresh_wt","Nitrogen concentration on a fresh weight basis-per metric tonne","Numeric","Nitrogen in kilograms per metric tonne of fresh weight"
"P_kg_per_t_fresh_wt","Elemental phosphorus concentration on a fresh weight basis-per metric tonne","Numeric","Elemental phosphorus in kilograms per metric tonne of fresh weight"
"K_kg_per_t_fresh_wt","Elemental potassium concentration on a fresh weight basis-per metric tonne","Numeric","Elemental potassium in kilograms per metric tonne of fresh weight"
"S_kg_per_t_fresh_wt","Elemental sulphur concentration on a fresh weight basis-per metric tonne","Numeric","Elemental sulphur in kilograms per metric tonne of fresh weight"
