"item","item_code","original_crop"
"Agave fibres nes",800,"Agave fibres nes"
"Almonds, with shell",221,"Almonds, with shell"
"Almonds, with shell",221,"Almonds; with shell"
"Anise, badian, fennel, coriander",711,"Anise, badian, fennel, corian."
"Anise, badian, fennel, coriander",711,"Anise, badian, fennel, coriander"
"Anise, badian, fennel, coriander",711,"Anise; badian; fennel; corian."
"Apples",515,"Apples"
"Apricots",526,"Apricots"
"Areca nuts",226,"Arecanuts"
"Artichokes",366,"Artichokes"
"Asparagus",367,"Asparagus"
"Avocados",572,"Avocados"
"Sugar cane",156,"Bagasse"
"Bambara beans",203,"Bambara beans"
"Bananas",486,"Banana"
"Bananas",486,"Bananas"
"Barley",44,"barley"
"Barley",44,"Barley"
"Barley",44,"Barley grain"
"Barley",44,"Barley straw"
"Barley",44,"Barley straw per t of grain"
"Bastfibres, other",782,"Bastfibres, other"
"Beans, dry",176,"Bean, dry"
"Beans, dry",176,"Bean, lima"
"Beans, dry",176,"Bean, mung"
"Beans, dry",176,"Beans (dry)"
"Beans, dry",176,"Beans, dry"
"Beans, green",414,"Beans, green"
"Beans, dry",176,"Beans; dry"
"Beans, green",414,"Beans; green"
"Chillies and peppers, green",401,"Bell peppers"
"Berries nes",558,"Berries Nes"
"Blueberries",552,"Blueberries"
"Brazil nuts, with shell",216,"Brazil nuts, with shell"
"Brazil nuts, with shell",216,"Brazil nuts; with shell"
"Broad beans, horse beans, dry",181,"Broad beans"
"Broad beans, horse beans, dry",181,"Broad beans, horse beans, dry"
"Broad beans, horse beans, dry",181,"Broad beans; horse beans; dry"
"Rice, paddy",27,"Brown rice"
"Buckwheat",89,"Buckwheat"
"Cabbages and other brassicas",358,"Cabbage"
"Cabbages and other brassicas",358,"Cabbage, for forage"
"Cabbages and other brassicas",358,"Cabbages and other brassicas"
"Canary seed",101,"Canary seed"
"Rapeseed",270,"Canola"
"Melons, other (inc.cantaloupes)",568,"Cantaloupe"
"Carobs",461,"Carobs"
"Carrots and turnips",426,"Carrots"
"Carrots and turnips",426,"Carrots and turnips"
"Cashew nuts, with shell",217,"Cashew nuts, with shell"
"Cashew nuts, with shell",217,"Cashew nuts; with shell"
"Cashewapple",591,"Cashewapple"
"Cassava",125,"Cassava"
"Cassava",125,"Cassava Dried"
"Castor oil seed",265,"Castor oil seed"
"Cauliflowers and broccoli",393,"Cauliflowers and broccoli"
"Cereals nes",108,"Cereals other"
"Cereals nes",108,"Cereals, nes"
"Cherries",531,"Cherries"
"Chestnut",220,"Chestnuts"
"Chick peas",191,"Chick pea"
"Chick peas",191,"Chick peas"
"Chick peas",191,"Chickpea"
"Chicory roots",459,"Chicory roots"
"Chillies and peppers, dry",689,"Chillies and peppers, dry"
"Chillies and peppers, green",401,"Chillies and peppers, green"
"Chillies and peppers, dry",689,"Chillies and peppers; dry"
"Chillies and peppers, green",401,"Chillies and peppers; green"
"Cinnamon (cannella)",693,"Cinnamon (canella)"
"Fruit, citrus nes",512,"Citrus"
"Fruit, citrus nes",512,"Citrus fruit, nes"
"Fruit, citrus nes",512,"Citrus fruit; nes"
"Fruit, citrus nes",512,"Citrus fruits"
"Cloves",698,"Cloves"
"Cocoa, beans",661,"Cocoa beans"
"Cocoa, beans",661,"Cocoa, beans"
"Coconuts",249,"Coconut"
"Coconuts",249,"Coconuts"
"Coconuts",249,"Cocoon Unr.&Waste"
"Coffee, green",656,"Coffee"
"Coffee, green",656,"Coffee, green"
"Maize",56,"Corn"
"Maize",56,"Corn grain"
"Maize, green",446,"Corn silage (35% dm)"
"Maize, green",446,"Corn silage (67% water)"
"Maize, green",446,"Corn silage (67% water) per t of grain"
"Maize",56,"Corn stover"
"Maize",56,"Corn stover per t of grain"
"Cow peas, dry",195,"Cow pea"
