"tier","region","country","iso3_code","item","item_code","item_group_code","crop_component","DM_pc","HI","N_pc","P_pc","K_pc","S_pc","N_pc_fresh","P_pc_fresh","K_pc_fresh","S_pc_fresh","N_kg_per_t_fresh_wt","P_kg_per_t_fresh_wt","K_kg_per_t_fresh_wt","S_kg_per_t_fresh_wt"
1,"World",NA,NA,"Agave fibres nes",800,1714,"Crop_products",NA,NA,NA,NA,NA,NA,0.5,0.11,0.332,NA,5,1.1,3.32,NA
1,"World",NA,NA,"Almonds, with shell",221,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,4.41,0.973066666666667,5.44423333333333,0,44.1,9.73066666666667,54.4423333333333,0
1,"World",NA,NA,"Anise, badian, fennel, coriander",711,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,1.3375,0.226666666666667,1.47186666666667,NA,13.375,2.26666666666667,14.7186666666667,NA
1,"World",NA,NA,"Apples",515,1714,"Crop_products",18,NA,1.455,0.418518518518519,2.96148148148148,0,0.2375,0.0753333333333333,0.533066666666667,0,2.375,0.753333333333333,5.33066666666667,0
1,"World",NA,NA,"Apricots",526,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.373333333333333,0.0704,0.2158,NA,3.73333333333333,0.704,2.158,NA
1,"World",NA,NA,"Areca nuts",226,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.784,NA,NA,NA,7.84,NA,NA,NA
1,"World",NA,NA,"Artichokes",366,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.41,0.11,0.332,NA,4.1,1.1,3.32,NA
1,"World",NA,NA,"Asparagus",367,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.5115,0.0874666666666667,0.362433333333333,NA,5.115,0.874666666666667,3.62433333333333,NA
1,"World",NA,NA,"Avocados",572,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.275,0.0772,0.1743,NA,2.75,0.772,1.743,NA
1,"World",NA,NA,"Bambara beans",203,1714,"Crop_products",NA,NA,4.21,NA,NA,NA,2.566,0.506,1.5272,NA,25.66,5.06,15.272,NA
1,"World",NA,NA,"Bananas",486,1714,"Crop_products",25.7,NA,0.516,0.055,3.16673151750973,NA,0.1704,0.0414,0.81385,NA,1.704,0.414,8.1385,NA
1,"World",NA,NA,"Bananas",486,1714,"Crop_residues",NA,NA,NA,NA,NA,NA,0.16,0.03,1.19,NA,1.6,0.3,11.9,NA
1,"World",NA,NA,"Barley",44,1714,"Crop_products",88.5,NA,1.645907279,0.375,0.640045197740113,0.214689265536723,1.77298564999,0.34608,0.56644,0.19,17.7298564999,3.4608,5.6644,1.9
1,"World",NA,NA,"Barley",44,1714,"Crop_residues",84,0.454545454545455,0.7,0.152285714285714,2.3797619047619,0.232142857142857,0.768,0.12792,1.999,0.195,7.68,1.2792,19.99,1.95
1,"World",NA,NA,"Bastfibres, other",782,1714,"Crop_products",NA,NA,NA,NA,NA,NA,0.427,0.11,0.332,NA,4.27,1.1,3.32,NA
1,"World",NA,NA,"Beans, dry",176,1714,"Crop_products",91,NA,4.038393235,0.4788261,1.245,0.87,4.21664527745,0.570666666666667,1.71866666666667,0.87,42.1664527745,5.70666666666667,17.1866666666667,8.7
1,"World",NA,NA,"Beans, green",414,1714,"Crop_products",NA,NA,4.05657895,0.49,NA,NA,0.41,0.0748,0.2241,NA,4.1,0.748,2.241,NA
1,"World",NA,NA,"Berries nes",558,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.16,NA,NA,NA,1.6,NA,NA,NA
1,"World",NA,NA,"Blueberries",552,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.104,0,0.083,NA,1.04,0,0.83,NA
1,"World",NA,NA,"Brazil nuts, with shell",216,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,1.702,0.506,1.5272,NA,17.02,5.06,15.272,NA
1,"World",NA,NA,"Broad beans, horse beans, dry",181,1714,"Crop_products",NA,NA,4.21,NA,NA,NA,3.022,0.506,1.5272,NA,30.22,5.06,15.272,NA
1,"World",NA,NA,"Buckwheat",89,1714,"Crop_products",NA,NA,NA,NA,NA,NA,1.712,0.22,0.3676,0,17.12,2.2,3.676,0
1,"World",NA,NA,"Cabbages and other brassicas",358,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.3845,0.03992,0.29976,0,3.845,0.3992,2.9976,0
1,"World",NA,NA,"Canary seed",101,1714,"Crop_products",NA,NA,NA,NA,NA,NA,1.85333333333333,0.29,1.08,0,18.5333333333333,2.9,10.8,0
1,"World",NA,NA,"Carobs",461,1714,"Crop_products",NA,NA,1.248,0.15,NA,NA,0.498,0.1628,0.4897,NA,4.98,1.628,4.897,NA
1,"World",NA,NA,"Carrots and turnips",426,1714,"Crop_products",NA,NA,2.063,0.29,NA,NA,0.2128,0.0510666666666667,0.229633333333333,NA,2.128,0.510666666666667,2.29633333333333,NA
1,"World",NA,NA,"Cashew nuts, with shell",217,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,2.116,0.66,1.992,NA,21.16,6.6,19.92,NA
