"item","item_code","item_group_code","N_kg_per_t_fresh_wt","P_kg_per_t_fresh_wt","K_kg_per_t_fresh_wt","DM_pc","N_pc","P_pc","K_pc"
"Agave fibres nes",800,1714,5,1.1,3.32,NA,NA,NA,NA
"Almonds, with shell",221,1714,44.1,9.73066666666667,54.4423333333333,NA,2.67,NA,NA
"Anise, badian, fennel, coriander",711,1714,13.375,2.26666666666667,14.7186666666667,NA,2.67,NA,NA
"Apples",515,1714,2.375,0.753333333333333,5.33066666666667,18,1.455,0.418518518518519,2.96148148148148
"Apricots",526,1714,3.73333333333333,0.704,2.158,NA,2.67,NA,NA
"Areca nuts",226,1714,7.84,NA,NA,NA,2.67,NA,NA
"Artichokes",366,1714,4.1,1.1,3.32,NA,2.67,NA,NA
"Asparagus",367,1714,5.115,0.874666666666667,3.62433333333333,NA,2.67,NA,NA
"Avocados",572,1714,2.75,0.772,1.743,NA,2.67,NA,NA
"Bambara beans",203,1714,25.66,5.06,15.272,NA,4.21,NA,NA
"Bananas",486,1714,1.704,0.414,8.1385,25.7,0.516,0.055,3.16673151750973
"Barley",44,1714,17.7298564999,3.4608,5.6644,88.5,1.645907279,0.375,0.640045197740113
"Bastfibres, other",782,1714,4.27,1.1,3.32,NA,NA,NA,NA
"Beans, dry",176,1714,42.1664527745,5.70666666666667,17.1866666666667,91,4.038393235,0.4788261,1.245
"Beans, green",414,1714,4.1,0.748,2.241,NA,4.05657895,0.49,NA
"Berries nes",558,1714,1.6,NA,NA,NA,2.67,NA,NA
"Blueberries",552,1714,1.04,0,0.83,NA,2.67,NA,NA
"Brazil nuts, with shell",216,1714,17.02,5.06,15.272,NA,2.67,NA,NA
"Broad beans, horse beans, dry",181,1714,30.22,5.06,15.272,NA,4.21,NA,NA
"Buckwheat",89,1714,17.12,2.2,3.676,NA,NA,NA,NA
"Cabbages and other brassicas",358,1714,3.845,0.3992,2.9976,NA,2.67,NA,NA
"Canary seed",101,1714,18.5333333333333,2.9,10.8,NA,NA,NA,NA
"Carobs",461,1714,4.98,1.628,4.897,NA,1.248,0.15,NA
"Carrots and turnips",426,1714,2.128,0.510666666666667,2.29633333333333,NA,2.063,0.29,NA
"Cashew nuts, with shell",217,1714,21.16,6.6,19.92,NA,2.67,NA,NA
"Cashewapple",591,1714,1.28,NA,NA,NA,2.67,NA,NA
"Cassava",125,1714,2.47,0.303,2.64475,32.6,0.2,0.04,0.811273006134969
"Castor oil seed",265,1714,14.4,NA,NA,NA,3.974,0.65,NA
"Cauliflowers and broccoli",393,1714,4.075,0.804,3.32933333333333,NA,2.67,NA,NA
"Cereals nes",108,1714,14.325,3.3,4.475,87.5,1.73273363333333,0.31,0.511428571428571
"Cherries",531,1714,1.76,NA,NA,NA,2.67,NA,NA
"Cherries, sour",530,1714,1.44,NA,NA,NA,2.67,NA,NA
"Chestnut",220,1714,2.88,NA,NA,NA,2.67,NA,NA
"Chick peas",191,1714,27.32823088625,5.06,15.272,86,3.051200095,0.4054286,1.0375
"Chicory roots",459,1714,1.76,NA,NA,NA,2.67,NA,NA
"Chillies and peppers, dry",689,1714,13,1.24,11.62,NA,2.67,NA,NA
"Chillies and peppers, green",401,1714,2.165,0.510666666666667,2.29633333333333,NA,2.67,NA,NA
"Cinnamon (cannella)",693,1714,11.685,1.35733333333333,11.952,NA,2.67,NA,NA
"Cloves",698,1714,18.4,3.07333333333333,17.1533333333333,NA,2.67,NA,NA
"Cocoa, beans",661,1714,24.375,5.47333333333333,39.84,NA,NA,NA,NA
"Coconuts",249,1714,15.3733333333333,2.623,5.936,89.6,0.2,0.04,0.6625
"Coffee, green",656,1714,21.944,2.955,17.065,100,2.4,0.22,1.7065
"Cow peas, dry",195,1714,30.8912943527333,5.06,15.272,58.515,3.972044228,0.42,2.60992907801418
"Cranberries",554,1714,0.64,NA,NA,NA,2.67,NA,NA
"Cucumbers and gherkins",397,1714,1.4,0.452,1.60466666666667,NA,2.67,NA,NA
"Currants",550,1714,2.24,NA,NA,NA,2.67,NA,NA
"Dates",577,1714,3.3,0.924,2.822,NA,1.631,0.27,NA
"Eggplants (aubergines)",399,1714,2.61,0.657333333333333,2.76666666666667,NA,2.67,NA,NA
"Fibre crops nes",821,1714,4.27,1.1,3.32,100,8.1,0.95,0.332
"Figs",569,1714,3.04,NA,NA,NA,2.67,NA,NA
"Flax fibre and tow",773,1714,18.9733333333333,4.21066666666667,7.31166666666667,91,3.898050975,0.462710622710623,0.803479853479854
"Fonio",94,1714,12.8,2.2,4.15,NA,1.36,0.21,NA
"Fruit, citrus nes",512,1714,1.52,0.378,2.152,10.3,0.57,0.105,2.08932038834951
"Fruit, fresh nes",619,1714,1.93333333333333,0.43,1.996,13.1,1.385,0.01,1.5236641221374
"Fruit, pome nes",542,1714,3,0.66,1.992,NA,2.67,NA,NA
"Fruit, stone nes",541,1714,2.22,0.66,1.992,NA,2.67,NA,NA
"Fruit, tropical fresh nes",603,1714,2.76,0.66,1.992,NA,1.719,0.13,NA
"Garlic",406,1714,6.4,0.88,2.656,NA,2.67,NA,NA
"Ginger",720,1714,12.59,1.00533333333333,10.9006666666667,NA,2.67,NA,NA
"Gooseberries",549,1714,1.44,NA,NA,NA,2.67,NA,NA
"Grain, mixed",103,1714,15,2.2,4.15,NA,NA,NA,NA
"Grapefruit (inc. pomelos)",507,1714,1.8,NA,NA,NA,1.12,0.16,NA
"Grapes",560,1714,3.175,0.569333333333333,3.87666666666667,15,2.263,0.27,2.58444444444444
"Groundnuts, with shell",242,1714,34.28,3.61333333333333,7.43666666666667,94.1,4.245992004,0.42,0.790294013460857
"Gums, natural",839,1714,147.5,NA,NA,NA,NA,NA,NA
"Hazelnuts, with shell",225,1714,9.3,2.168,6.77833333333333,NA,2.67,NA,NA
"Hemp tow waste",777,1714,3.14,1.1,3.32,NA,NA,NA,NA
"Hempseed",336,1714,25.1,2.2,4.15,NA,3.83727536233333,0.46,NA
"Hops",677,1714,20.75,3,16.932,NA,3.856,0.61,NA
"Jojoba seed",277,1714,56,12.32,37.184,NA,3.34,NA,NA
"Jute",780,1714,2.66,1.1,3.32,NA,NA,NA,NA
"Karite nuts (sheanuts)",263,1714,10.88,NA,NA,NA,2.358,0.1,NA
"Kiwi fruit",592,1714,1.67,0.44,1.245,NA,2.67,NA,NA
"Kola nuts",224,1714,14.4,NA,NA,NA,2.67,NA,NA
"Leeks, other alliaceous vegetables",407,1714,3.05,0.88,2.656,NA,2.67,NA,NA
"Lemons and limes",497,1714,1.9,0.44,1.328,NA,1.808,NA,NA
"Lentils",201,1714,35.768647677,5.884,19.505,86,4.0540254875,0.684186046511628,2.26802325581395
"Lettuce and chicory",372,1714,2.41,0.390666666666667,3.35333333333333,NA,2.67,NA,NA
"Linseed",333,1714,30.4,7.04,21.248,NA,3.566,0.63,NA
"Lupins",210,1714,46.8238380813333,5.06,15.272,88,5.249796102,0.575,1.73545454545455
"Maize",56,1714,12.3387239715278,2.9384,3.851,87.5,1.59087996033333,0.2938512,0.440114285714286
"Maize, green",446,1714,7.6,1.3888,5.8382,20,2.67,0.6944,2.9191
"Mangoes, mangosteens, guavas",571,1714,4.035,0.698666666666667,4.75866666666667,NA,1.771,0.1,NA
"Manila fibre (abaca)",809,1714,2.9,1.1,3.32,NA,NA,NA,NA
